number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_two_layers_architecture_3	state
0	43.6252288641352	2020-07-22 15:10:20.906715	2020-07-22 15:20:07.410680	0 days 00:09:46.503965000		0.0005268254440729668	6	1			COMPLETE
1	40.1857684398216	2020-07-22 15:20:07.411121	2020-07-22 15:30:04.003602	0 days 00:09:56.592481000	0.05	1.4184225308182979e-05	8	2		pyramid_4	COMPLETE
2	39.80852022201039	2020-07-22 15:30:04.004079	2020-07-22 15:39:53.031228	0 days 00:09:49.027149000	0.1	1.3758534029230741e-05	7	2		pyramid_2	COMPLETE
3	43.76004786613323	2020-07-22 15:39:53.031743	2020-07-22 15:52:10.970821	0 days 00:12:17.939078000		0.00034488694887411793	9	1			COMPLETE
4	40.225913358194234	2020-07-22 15:52:10.971301	2020-07-22 16:02:17.033554	0 days 00:10:06.062253000	0.25	4.875062358892944e-05	8	3	pyramid_2		COMPLETE
5	48.11762229934274	2020-07-22 16:02:17.034041	2020-07-22 16:13:12.681285	0 days 00:10:55.647244000	0.45	0.0008687537992777742	6	2		flat	COMPLETE
6	39.83127718746546	2020-07-22 16:13:12.681784	2020-07-22 16:23:04.050010	0 days 00:09:51.368226000	0.25	1.1212162250868947e-05	6	2		pyramid_4	COMPLETE
7	42.2902061642108	2020-07-22 16:23:04.050515	2020-07-22 16:33:23.286734	0 days 00:10:19.236219000	0.25	0.0007159889731466094	9	3			COMPLETE
8	40.21976246239673	2020-07-22 16:33:23.287197	2020-07-22 16:43:14.923645	0 days 00:09:51.636448000	0.0	2.7221699329779967e-05	8	2		flat	COMPLETE
9	53.94314407540211	2020-07-22 16:43:14.924158	2020-07-22 16:53:15.369049	0 days 00:10:00.444891000	0.0	0.003375922800696493	8	2		pyramid_4	COMPLETE
10	40.01962377319876	2020-07-22 16:53:15.369559	2020-07-22 17:06:41.921900	0 days 00:13:26.552341000	0.1	0.026269665320428102	7	3	flat		COMPLETE
11	39.88551577062632	2020-07-22 17:06:41.922408	2020-07-22 17:16:17.583651	0 days 00:09:35.661243000		8.989783447456978e-05	6	1			COMPLETE
12	39.83598345520937	2020-07-22 17:16:17.584131	2020-07-22 17:26:09.252816	0 days 00:09:51.668685000	0.4	1.0295756172817932e-05	7	2		pyramid_2	COMPLETE
13	41.94796679973518	2020-07-22 17:26:09.253352	2020-07-22 17:35:59.869550	0 days 00:09:50.616198000	0.15000000000000002	0.0001277979546781554	7	2		pyramid_2	COMPLETE
14	39.859834227355364	2020-07-22 17:35:59.870043	2020-07-22 17:46:00.674333	0 days 00:10:00.804290000	0.35000000000000003	1.0817103708663141e-05	7	3	pyramid_2		COMPLETE
15	39.743484561883065	2020-07-22 17:46:00.674843	2020-07-22 17:55:52.455356	0 days 00:09:51.780513000		2.6803477362777163e-05	6	1			COMPLETE
16	40.54133983182359	2020-07-22 17:55:52.455815	2020-07-22 18:05:27.922216	0 days 00:09:35.466401000		3.743957219911125e-05	10	1			COMPLETE
17	41.086691893451935	2020-07-22 18:05:27.922653	2020-07-22 18:15:09.520481	0 days 00:09:41.597828000		0.00013316267466587794	7	1			COMPLETE
18	41.13850207201134	2020-07-22 18:15:09.520907	2020-07-22 18:26:21.442836	0 days 00:11:11.921929000		0.003031503168705772	6	1			COMPLETE
19	39.76105364882303	2020-07-22 18:26:21.443287	2020-07-22 18:36:16.727958	0 days 00:09:55.284671000		2.3867153116107352e-05	7	1			COMPLETE
20	40.79743496237299	2020-07-22 18:36:16.728393	2020-07-22 18:45:51.050195	0 days 00:09:34.321802000		6.002209273732299e-05	9	1			COMPLETE
21	39.74633561799634	2020-07-22 18:45:51.050631	2020-07-22 18:55:43.675723	0 days 00:09:52.625092000		2.099767070084626e-05	7	1			COMPLETE
22	39.75090313715307	2020-07-22 18:55:43.676160	2020-07-22 19:05:36.451995	0 days 00:09:52.775835000		2.2306778357847264e-05	7	1			COMPLETE
23	41.54482705405157	2020-07-22 19:05:36.452454	2020-07-22 19:15:06.479106	0 days 00:09:30.026652000		0.00022774803672255737	6	1			COMPLETE
24	39.76121939626571	2020-07-22 19:15:06.479540	2020-07-22 19:24:55.797637	0 days 00:09:49.318097000		2.3887939902587865e-05	7	1			COMPLETE
