number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_min_layer_size_exponent	params_num_layers	params_three_layers_architecture_2	params_three_layers_architecture_3	params_two_layers_architecture_2	params_two_layers_architecture_3	state
0	183.03337108661555	2020-07-23 07:06:18.551936	2020-07-23 07:17:01.436050	0 days 00:10:42.884114000		0.0010357614727234544	9	1					COMPLETE
1	167.10738440112632	2020-07-23 07:17:01.436513	2020-07-23 07:28:55.282217	0 days 00:11:53.845704000	0.4	0.001388208767935525	10	3					COMPLETE
2	167.30279808880056	2020-07-23 07:28:55.282698	2020-07-23 07:51:17.269166	0 days 00:22:21.986468000	0.15000000000000002	1.840426055786479e-05	8	2				pyramid_2	COMPLETE
3	167.44181533433567	2020-07-23 07:51:17.269679	2020-07-23 08:02:20.701450	0 days 00:11:03.431771000	0.2	0.0008471468378803809	6	2				pyramid_2	COMPLETE
4	183.8349455456536	2020-07-23 08:02:20.701935	2020-07-23 08:30:48.222971	0 days 00:28:27.521036000		1.759602453389207e-05	7	1					COMPLETE
5	167.28849411255098	2020-07-23 08:30:48.223440	2020-07-23 09:00:25.249608	0 days 00:29:37.026168000	0.35000000000000003	1.255422363296798e-05	6	3		flat			COMPLETE
6	183.38617242681346	2020-07-23 09:00:25.250082	2020-07-23 09:15:13.242857	0 days 00:14:47.992775000		0.0002328939139694338	9	1					COMPLETE
7	168.80776873233512	2020-07-23 09:15:13.243345	2020-07-23 09:26:56.436698	0 days 00:11:43.193353000	0.25	0.00724058449933384	10	3					COMPLETE
8	166.99347902363297	2020-07-23 09:26:56.437182	2020-07-23 09:37:51.114423	0 days 00:10:54.677241000	0.25	0.0005731612811952742	7	2				flat	COMPLETE
9	167.876271543359	2020-07-23 09:37:51.114925	2020-07-23 09:51:09.826032	0 days 00:13:18.711107000	0.35000000000000003	5.654879047159871e-05	9	2			pyramid_2		COMPLETE
10	166.9943837847105	2020-07-23 09:51:09.826555	2020-07-23 10:02:24.859417	0 days 00:11:15.032862000	0.0	0.011767817167182074	7	2				flat	COMPLETE
11	167.51125884717254	2020-07-23 10:02:24.860018	2020-07-23 10:13:22.348529	0 days 00:10:57.488511000	0.0	0.024301170041041088	7	2				flat	COMPLETE
12	168.0077963783001	2020-07-23 10:13:22.349022	2020-07-23 10:24:38.571841	0 days 00:11:16.222819000	0.0	0.005395716740776573	7	2				flat	COMPLETE
13	167.87955410329616	2020-07-23 10:24:38.572365	2020-07-23 10:36:39.030274	0 days 00:12:00.457909000	0.1	0.00014212752081171944	8	2				pyramid_4	COMPLETE
14	190.94689133330746	2020-07-23 10:36:39.030763	2020-07-23 10:47:24.173178	0 days 00:10:45.142415000	0.5	0.025184130474562708	7	3	pyramid_2				COMPLETE
15	183.21427752382334	2020-07-23 10:47:24.173680	2020-07-23 10:57:30.222642	0 days 00:10:06.048962000		0.004482110718322431	6	1					COMPLETE
16	167.58378224257933	2020-07-23 10:57:30.223157	2020-07-23 11:08:33.141277	0 days 00:11:02.918120000	0.25	0.002478184792640434	8	2				flat	COMPLETE
17	167.5634407666829	2020-07-23 11:08:33.141789	2020-07-23 11:19:18.619615	0 days 00:10:45.477826000	0.05	0.00033193666904950624	7	2				flat	COMPLETE
18	184.3064183384568	2020-07-23 11:19:18.620116	2020-07-23 11:29:35.694166	0 days 00:10:17.074050000		0.011802726827612266	6	1					COMPLETE
19	165.94530809555187	2020-07-23 11:29:35.694665	2020-07-23 11:41:53.877804	0 days 00:12:18.183139000	0.30000000000000004	8.284216370299821e-05	7	3	flat				COMPLETE
20	166.56617553116996	2020-07-23 11:41:53.878339	2020-07-23 11:54:36.551675	0 days 00:12:42.673336000	0.30000000000000004	5.9181426195308843e-05	8	3	flat				COMPLETE
21	166.33885997056544	2020-07-23 11:54:36.552186	2020-07-23 12:06:11.042616	0 days 00:11:34.490430000	0.30000000000000004	6.765773073582036e-05	8	3	flat				COMPLETE
22	166.93469177820415	2020-07-23 12:06:11.043186	2020-07-23 12:18:42.392575	0 days 00:12:31.349389000	0.35000000000000003	4.503265162567107e-05	8	3	flat				COMPLETE
23	166.9159576330759	2020-07-23 12:18:42.393097	2020-07-23 12:30:35.182396	0 days 00:11:52.789299000	0.45	6.661218305647734e-05	9	3					COMPLETE
24	165.6245922494127	2020-07-23 12:30:35.182945	2020-07-23 12:42:30.752028	0 days 00:11:55.569083000	0.30000000000000004	0.00011595133238552385	8	3	flat				COMPLETE
