number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.4651188419273584	2021-05-23 12:44:02.304235	2021-05-23 12:56:08.485410	0 days 00:12:06.181175000	7	COMPLETE
1	1.4013462211562795	2021-05-23 12:56:08.486069	2021-05-23 13:11:19.228900	0 days 00:15:10.742831000	9	COMPLETE
2		2021-05-23 13:11:19.229381	2021-05-23 13:11:19.229768	0 days 00:00:00.000387000	7	PRUNED
3	3.4849803616459463	2021-05-23 13:11:19.287970	2021-05-23 13:27:48.452505	0 days 00:16:29.164535000	1	COMPLETE
4		2021-05-23 13:27:48.476524	2021-05-23 13:27:48.476974	0 days 00:00:00.000450000	9	PRUNED
5		2021-05-23 13:27:48.531358	2021-05-23 13:27:48.531875	0 days 00:00:00.000517000	1	PRUNED
6	1.549818410386664	2021-05-23 13:27:48.583337	2021-05-23 13:44:12.787955	0 days 00:16:24.204618000	5	COMPLETE
7		2021-05-23 13:44:12.788539	2021-05-23 13:44:12.789047	0 days 00:00:00.000508000	7	PRUNED
8		2021-05-23 13:44:12.842450	2021-05-23 13:44:12.843063	0 days 00:00:00.000613000	9	PRUNED
9	1.752052493525769	2021-05-23 13:44:12.893977	2021-05-23 14:01:18.972024	0 days 00:17:06.078047000	3	COMPLETE
