number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.260477407085943	2021-05-23 06:04:36.857166	2021-05-23 06:19:57.278884	0 days 00:15:20.421718000	3	COMPLETE
1	1.2054491759393084	2021-05-23 06:19:57.279556	2021-05-23 06:36:00.827616	0 days 00:16:03.548060000	9	COMPLETE
2	1.2304443559342548	2021-05-23 06:36:00.828242	2021-05-23 06:52:45.489439	0 days 00:16:44.661197000	7	COMPLETE
3		2021-05-23 06:52:45.529241	2021-05-23 06:52:45.529900	0 days 00:00:00.000659000	7	PRUNED
4	1.446169338723619	2021-05-23 06:52:45.693491	2021-05-23 07:08:09.330357	0 days 00:15:23.636866000	1	COMPLETE
5		2021-05-23 07:08:09.331153	2021-05-23 07:08:09.331754	0 days 00:00:00.000601000	3	PRUNED
6	1.2356848257076563	2021-05-23 07:08:09.499451	2021-05-23 07:24:37.301973	0 days 00:16:27.802522000	5	COMPLETE
