number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.1654378097599507	2021-05-23 03:51:42.211839	2021-05-23 04:06:19.382500	0 days 00:14:37.170661000	5	COMPLETE
1	1.1461416841562233	2021-05-23 04:06:19.383048	2021-05-23 04:24:15.964067	0 days 00:17:56.581019000	9	COMPLETE
2	1.2137067266767017	2021-05-23 04:24:15.964619	2021-05-23 04:43:01.513106	0 days 00:18:45.548487000	3	COMPLETE
3		2021-05-23 04:43:01.513689	2021-05-23 04:43:01.514192	0 days 00:00:00.000503000	3	PRUNED
4		2021-05-23 04:43:01.603818	2021-05-23 04:43:01.604405	0 days 00:00:00.000587000	5	PRUNED
5		2021-05-23 04:43:01.694235	2021-05-23 04:43:01.694856	0 days 00:00:00.000621000	5	PRUNED
6		2021-05-23 04:43:01.784980	2021-05-23 04:43:01.785635	0 days 00:00:00.000655000	5	PRUNED
7		2021-05-23 04:43:01.875162	2021-05-23 04:43:01.875860	0 days 00:00:00.000698000	3	PRUNED
8		2021-05-23 04:43:01.965927	2021-05-23 04:43:01.966668	0 days 00:00:00.000741000	5	PRUNED
9	1.1592114050487294	2021-05-23 04:43:02.056531	2021-05-23 05:00:06.381105	0 days 00:17:04.324574000	7	COMPLETE
10		2021-05-23 05:00:06.382029	2021-05-23 05:00:07.089744	0 days 00:00:00.707715000	9	PRUNED
11		2021-05-23 05:00:07.198275	2021-05-23 05:00:07.200531	0 days 00:00:00.002256000	9	PRUNED
12		2021-05-23 05:00:07.294958	2021-05-23 05:00:07.297213	0 days 00:00:00.002255000	7	PRUNED
13		2021-05-23 05:00:07.392623	2021-05-23 05:00:07.394933	0 days 00:00:00.002310000	7	PRUNED
14		2021-05-23 05:00:07.489705	2021-05-23 05:00:07.492010	0 days 00:00:00.002305000	7	PRUNED
15		2021-05-23 05:00:07.586326	2021-05-23 05:00:07.588694	0 days 00:00:00.002368000	9	PRUNED
16		2021-05-23 05:00:07.682702	2021-05-23 05:00:07.685106	0 days 00:00:00.002404000	7	PRUNED
17		2021-05-23 05:00:07.779408	2021-05-23 05:00:07.781926	0 days 00:00:00.002518000	9	PRUNED
18	1.5493503778944484	2021-05-23 05:00:07.876540	2021-05-23 05:18:03.060132	0 days 00:17:55.183592000	1	COMPLETE
