number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.7196295206025893	2021-05-23 08:12:42.389296	2021-05-23 08:26:14.920504	0 days 00:13:32.531208000	3	COMPLETE
1	1.5642063789850387	2021-05-23 08:26:14.920925	2021-05-23 08:40:00.662757	0 days 00:13:45.741832000	5	COMPLETE
2	1.4774484562439405	2021-05-23 08:40:00.663344	2021-05-23 08:53:54.732206	0 days 00:13:54.068862000	9	COMPLETE
3		2021-05-23 08:53:54.732919	2021-05-23 08:53:54.733439	0 days 00:00:00.000520000	5	PRUNED
4		2021-05-23 08:53:54.842996	2021-05-23 08:53:54.843653	0 days 00:00:00.000657000	3	PRUNED
5	1.513885117798067	2021-05-23 08:53:54.953632	2021-05-23 09:08:10.667792	0 days 00:14:15.714160000	7	COMPLETE
6	2.7309115962469486	2021-05-23 09:08:10.668618	2021-05-23 09:21:50.487295	0 days 00:13:39.818677000	1	COMPLETE
