number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2226781173000816	2021-05-23 11:41:01.175198	2021-05-23 11:53:48.888502	0 days 00:12:47.713304000	7	COMPLETE
1	1.8082419421031455	2021-05-23 11:53:48.889023	2021-05-23 12:06:04.147428	0 days 00:12:15.258405000	1	COMPLETE
2	1.2649368630643283	2021-05-23 12:06:04.148031	2021-05-23 12:18:47.628228	0 days 00:12:43.480197000	5	COMPLETE
3		2021-05-23 12:18:47.628860	2021-05-23 12:18:47.629334	0 days 00:00:00.000474000	1	PRUNED
4		2021-05-23 12:18:47.738363	2021-05-23 12:18:47.739002	0 days 00:00:00.000639000	5	PRUNED
5		2021-05-23 12:18:47.847950	2021-05-23 12:18:47.848619	0 days 00:00:00.000669000	1	PRUNED
6		2021-05-23 12:18:47.958145	2021-05-23 12:18:47.958846	0 days 00:00:00.000701000	7	PRUNED
7		2021-05-23 12:18:48.069456	2021-05-23 12:18:48.070206	0 days 00:00:00.000750000	5	PRUNED
8	1.2057174796280408	2021-05-23 12:18:48.180742	2021-05-23 12:31:54.048344	0 days 00:13:05.867602000	9	COMPLETE
9	1.3686682475102414	2021-05-23 12:31:54.049205	2021-05-23 12:43:56.408013	0 days 00:12:02.358808000	3	COMPLETE
