number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2557321352834045	2021-05-23 08:53:54.655365	2021-05-23 09:10:26.358780	0 days 00:16:31.703415000	7	COMPLETE
1	1.2410594397097483	2021-05-23 09:10:26.359229	2021-05-23 09:27:14.388877	0 days 00:16:48.029648000	9	COMPLETE
2	1.816437989872049	2021-05-23 09:27:14.389293	2021-05-23 09:43:24.758039	0 days 00:16:10.368746000	1	COMPLETE
3		2021-05-23 09:43:24.758658	2021-05-23 09:43:24.759117	0 days 00:00:00.000459000	7	PRUNED
4		2021-05-23 09:43:24.848645	2021-05-23 09:43:24.849247	0 days 00:00:00.000602000	1	PRUNED
5		2021-05-23 09:43:24.938015	2021-05-23 09:43:24.938657	0 days 00:00:00.000642000	7	PRUNED
6		2021-05-23 09:43:25.027708	2021-05-23 09:43:25.028380	0 days 00:00:00.000672000	1	PRUNED
7		2021-05-23 09:43:25.117917	2021-05-23 09:43:25.118638	0 days 00:00:00.000721000	9	PRUNED
8	1.2978778964473663	2021-05-23 09:43:25.207823	2021-05-23 09:59:26.528910	0 days 00:16:01.321087000	5	COMPLETE
9		2021-05-23 09:59:26.567812	2021-05-23 09:59:26.680349	0 days 00:00:00.112537000	9	PRUNED
10	1.4031653115927776	2021-05-23 09:59:26.760909	2021-05-23 10:15:28.165684	0 days 00:16:01.404775000	3	COMPLETE
