number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.09953853657398551	2021-05-24 02:27:56.862768	2021-05-24 02:43:44.060508	0 days 00:15:47.197740000	5	COMPLETE
1	0.10872305703152746	2021-05-24 02:43:44.060911	2021-05-24 02:58:58.949884	0 days 00:15:14.888973000	7	COMPLETE
2		2021-05-24 02:58:58.950424	2021-05-24 02:58:58.950860	0 days 00:00:00.000436000	7	PRUNED
3	0.09072102621061752	2021-05-24 02:58:59.036421	2021-05-24 03:14:20.155449	0 days 00:15:21.119028000	3	COMPLETE
4		2021-05-24 03:14:20.156155	2021-05-24 03:14:20.156677	0 days 00:00:00.000522000	7	PRUNED
5		2021-05-24 03:14:20.242985	2021-05-24 03:14:20.243681	0 days 00:00:00.000696000	3	PRUNED
6	0.10853241825087251	2021-05-24 03:14:20.329630	2021-05-24 03:29:38.095376	0 days 00:15:17.765746000	9	COMPLETE
7	0.05871078161682024	2021-05-24 03:29:38.096189	2021-05-24 03:44:03.701215	0 days 00:14:25.605026000	1	COMPLETE
