number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.179916153065316	2021-05-23 12:34:15.927055	2021-05-23 12:46:09.432829	0 days 00:11:53.505774000	7	COMPLETE
1	2.085972317883484	2021-05-23 12:46:09.433348	2021-05-23 13:02:24.082585	0 days 00:16:14.649237000	9	COMPLETE
2	2.2798419921607476	2021-05-23 13:02:24.083150	2021-05-23 13:18:36.096155	0 days 00:16:12.013005000	5	COMPLETE
3	3.813467453747032	2021-05-23 13:18:36.096742	2021-05-23 13:33:51.278150	0 days 00:15:15.181408000	1	COMPLETE
4		2021-05-23 13:33:51.278744	2021-05-23 13:33:51.279275	0 days 00:00:00.000531000	9	PRUNED
5		2021-05-23 13:33:51.364040	2021-05-23 13:33:51.364656	0 days 00:00:00.000616000	5	PRUNED
6		2021-05-23 13:33:51.448651	2021-05-23 13:33:51.449327	0 days 00:00:00.000676000	7	PRUNED
7		2021-05-23 13:33:51.533237	2021-05-23 13:33:51.533929	0 days 00:00:00.000692000	1	PRUNED
8		2021-05-23 13:33:51.617924	2021-05-23 13:33:51.618717	0 days 00:00:00.000793000	9	PRUNED
9		2021-05-23 13:33:51.702939	2021-05-23 13:33:51.703688	0 days 00:00:00.000749000	7	PRUNED
10	2.484899273856751	2021-05-23 13:33:51.787810	2021-05-23 13:49:42.887066	0 days 00:15:51.099256000	3	COMPLETE
