number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	3.9391296588555	2021-05-23 10:04:37.476301	2021-05-23 10:21:33.529192	0 days 00:16:56.052891000	1	COMPLETE
1	1.9724347596539407	2021-05-23 10:21:33.529762	2021-05-23 10:37:54.984103	0 days 00:16:21.454341000	5	COMPLETE
2		2021-05-23 10:37:54.984654	2021-05-23 10:37:55.012008	0 days 00:00:00.027354000	5	PRUNED
3	2.2472791960836185	2021-05-23 10:37:55.103268	2021-05-23 10:54:53.283601	0 days 00:16:58.180333000	3	COMPLETE
4		2021-05-23 10:54:53.284247	2021-05-23 10:54:53.284788	0 days 00:00:00.000541000	5	PRUNED
5	1.8354585802024515	2021-05-23 10:54:53.372310	2021-05-23 11:11:32.206011	0 days 00:16:38.833701000	9	COMPLETE
6		2021-05-23 11:11:32.286106	2021-05-23 11:11:32.417425	0 days 00:00:00.131319000	9	PRUNED
7		2021-05-23 11:11:32.508735	2021-05-23 11:11:32.509539	0 days 00:00:00.000804000	1	PRUNED
8	1.8894850119240902	2021-05-23 11:11:32.600351	2021-05-23 11:24:34.721666	0 days 00:13:02.121315000	7	COMPLETE
