number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.353194958814283	2021-05-23 14:03:14.744099	2021-05-23 14:19:54.917968	0 days 00:16:40.173869000	3	COMPLETE
1	1.1736992526359393	2021-05-23 14:19:54.918431	2021-05-23 14:32:20.661059	0 days 00:12:25.742628000	9	COMPLETE
2		2021-05-23 14:32:20.661706	2021-05-23 14:32:20.662153	0 days 00:00:00.000447000	9	PRUNED
3	1.2084023956246872	2021-05-23 14:32:20.766496	2021-05-23 14:44:27.328339	0 days 00:12:06.561843000	7	COMPLETE
4		2021-05-23 14:44:27.328959	2021-05-23 14:44:27.329453	0 days 00:00:00.000494000	9	PRUNED
5		2021-05-23 14:44:27.426020	2021-05-23 14:44:27.426657	0 days 00:00:00.000637000	3	PRUNED
6		2021-05-23 14:44:27.523398	2021-05-23 14:44:27.524063	0 days 00:00:00.000665000	7	PRUNED
7	1.8100290069768887	2021-05-23 14:44:27.620264	2021-05-23 14:57:09.273936	0 days 00:12:41.653672000	1	COMPLETE
8		2021-05-23 14:57:09.274692	2021-05-23 14:57:09.275332	0 days 00:00:00.000640000	3	PRUNED
9		2021-05-23 14:57:09.365931	2021-05-23 14:57:09.366693	0 days 00:00:00.000762000	9	PRUNED
10		2021-05-23 14:57:09.456880	2021-05-23 14:57:09.562889	0 days 00:00:00.106009000	7	PRUNED
11		2021-05-23 14:57:09.653342	2021-05-23 14:57:09.655367	0 days 00:00:00.002025000	7	PRUNED
12	1.243879673044875	2021-05-23 14:57:09.746074	2021-05-23 15:09:11.940169	0 days 00:12:02.194095000	5	COMPLETE
