number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.3635901828374284	2021-05-23 03:54:45.378095	2021-05-23 04:11:41.990232	0 days 00:16:56.612137000	5	COMPLETE
1	1.3133849005483897	2021-05-23 04:11:41.990754	2021-05-23 04:27:44.718579	0 days 00:16:02.727825000	7	COMPLETE
2		2021-05-23 04:27:44.719093	2021-05-23 04:27:44.719499	0 days 00:00:00.000406000	7	PRUNED
3		2021-05-23 04:27:44.805626	2021-05-23 04:27:44.806181	0 days 00:00:00.000555000	5	PRUNED
4	1.441587220082782	2021-05-23 04:27:44.891972	2021-05-23 04:43:18.271126	0 days 00:15:33.379154000	3	COMPLETE
5		2021-05-23 04:43:18.271776	2021-05-23 04:43:18.272330	0 days 00:00:00.000554000	3	PRUNED
6	1.8439618715107258	2021-05-23 04:43:18.363712	2021-05-23 04:59:33.363832	0 days 00:16:15.000120000	1	COMPLETE
7		2021-05-23 04:59:33.364417	2021-05-23 04:59:33.364934	0 days 00:00:00.000517000	5	PRUNED
8		2021-05-23 04:59:33.419739	2021-05-23 04:59:33.420330	0 days 00:00:00.000591000	5	PRUNED
9		2021-05-23 04:59:33.472516	2021-05-23 04:59:33.473144	0 days 00:00:00.000628000	5	PRUNED
10	1.325348897149103	2021-05-23 04:59:33.524854	2021-05-23 05:16:31.690488	0 days 00:16:58.165634000	9	COMPLETE
