number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.06260165125306434	2021-05-24 03:25:10.312112	2021-05-24 03:39:30.493588	0 days 00:14:20.181476000	3	COMPLETE
1	0.07748208887261573	2021-05-24 03:39:30.494152	2021-05-24 03:54:19.815839	0 days 00:14:49.321687000	5	COMPLETE
2	0.0914249476104858	2021-05-24 03:54:19.816525	2021-05-24 04:08:11.038907	0 days 00:13:51.222382000	9	COMPLETE
3	0.08790263675666629	2021-05-24 04:08:11.039502	2021-05-24 04:21:52.464693	0 days 00:13:41.425191000	7	COMPLETE
4		2021-05-24 04:21:52.465308	2021-05-24 04:21:52.465849	0 days 00:00:00.000541000	3	PRUNED
5		2021-05-24 04:21:52.551090	2021-05-24 04:21:52.551739	0 days 00:00:00.000649000	3	PRUNED
6		2021-05-24 04:21:52.637241	2021-05-24 04:21:52.637908	0 days 00:00:00.000667000	7	PRUNED
7		2021-05-24 04:21:52.723126	2021-05-24 04:21:52.723828	0 days 00:00:00.000702000	7	PRUNED
8		2021-05-24 04:21:52.809014	2021-05-24 04:21:52.809744	0 days 00:00:00.000730000	5	PRUNED
9	0.03812521440867913	2021-05-24 04:21:52.896467	2021-05-24 04:35:08.070457	0 days 00:13:15.173990000	1	COMPLETE
