number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.0748651415645811	2021-05-24 04:42:54.122079	2021-05-24 04:55:48.028511	0 days 00:12:53.906432000	7	COMPLETE
1		2021-05-24 04:55:48.029143	2021-05-24 04:55:48.029599	0 days 00:00:00.000456000	7	PRUNED
2	0.029321797632947986	2021-05-24 04:55:48.122781	2021-05-24 05:08:37.243062	0 days 00:12:49.120281000	1	COMPLETE
3	0.0783390547985887	2021-05-24 05:08:37.243655	2021-05-24 05:21:49.557516	0 days 00:13:12.313861000	9	COMPLETE
4		2021-05-24 05:21:49.558150	2021-05-24 05:21:49.558672	0 days 00:00:00.000522000	9	PRUNED
5		2021-05-24 05:21:49.688341	2021-05-24 05:21:49.688964	0 days 00:00:00.000623000	1	PRUNED
6		2021-05-24 05:21:49.814868	2021-05-24 05:21:49.815522	0 days 00:00:00.000654000	1	PRUNED
7	0.057060704056167824	2021-05-24 05:21:49.938495	2021-05-24 05:35:22.881556	0 days 00:13:32.943061000	3	COMPLETE
8	0.06663732662386933	2021-05-24 05:35:22.900149	2021-05-24 05:49:13.948505	0 days 00:13:51.048356000	5	COMPLETE
