number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.5820444627354346	2021-05-23 10:18:35.370359	2021-05-23 10:35:18.047306	0 days 00:16:42.676947000	5	COMPLETE
1		2021-05-23 10:35:18.047910	2021-05-23 10:35:18.048364	0 days 00:00:00.000454000	5	PRUNED
2	1.495796238913819	2021-05-23 10:35:18.139145	2021-05-23 10:51:16.015581	0 days 00:15:57.876436000	7	COMPLETE
3		2021-05-23 10:51:16.016202	2021-05-23 10:51:16.016683	0 days 00:00:00.000481000	5	PRUNED
4		2021-05-23 10:51:16.108517	2021-05-23 10:51:16.109170	0 days 00:00:00.000653000	7	PRUNED
5	1.4567264603069872	2021-05-23 10:51:16.201368	2021-05-23 11:06:43.148705	0 days 00:15:26.947337000	9	COMPLETE
6		2021-05-23 11:06:43.149264	2021-05-23 11:06:43.149788	0 days 00:00:00.000524000	7	PRUNED
7		2021-05-23 11:06:43.204923	2021-05-23 11:06:43.205495	0 days 00:00:00.000572000	7	PRUNED
8		2021-05-23 11:06:43.257620	2021-05-23 11:06:43.258229	0 days 00:00:00.000609000	7	PRUNED
9		2021-05-23 11:06:43.309938	2021-05-23 11:06:43.310585	0 days 00:00:00.000647000	7	PRUNED
10	2.8824355025122426	2021-05-23 11:06:43.363177	2021-05-23 11:23:04.948359	0 days 00:16:21.585182000	1	COMPLETE
11		2021-05-23 11:23:04.949166	2021-05-23 11:23:05.658731	0 days 00:00:00.709565000	9	PRUNED
12		2021-05-23 11:23:05.738933	2021-05-23 11:23:05.740638	0 days 00:00:00.001705000	9	PRUNED
13		2021-05-23 11:23:05.818900	2021-05-23 11:23:05.820648	0 days 00:00:00.001748000	9	PRUNED
14		2021-05-23 11:23:05.898850	2021-05-23 11:23:05.900644	0 days 00:00:00.001794000	1	PRUNED
15	1.9344689390663594	2021-05-23 11:23:05.980614	2021-05-23 11:39:14.442286	0 days 00:16:08.461672000	3	COMPLETE
