number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.05972137967179038	2021-05-24 05:02:47.717349	2021-05-24 05:17:10.559271	0 days 00:14:22.841922000	3	COMPLETE
1	0.030060168823792966	2021-05-24 05:17:10.559805	2021-05-24 05:30:13.672923	0 days 00:13:03.113118000	1	COMPLETE
2	0.0881617828762434	2021-05-24 05:30:13.673448	2021-05-24 05:42:29.544418	0 days 00:12:15.870970000	7	COMPLETE
3	0.09375419384717	2021-05-24 05:42:29.545081	2021-05-24 05:54:47.028357	0 days 00:12:17.483276000	9	COMPLETE
4		2021-05-24 05:54:47.028977	2021-05-24 05:54:47.029476	0 days 00:00:00.000499000	1	PRUNED
5		2021-05-24 05:54:47.128380	2021-05-24 05:54:47.129019	0 days 00:00:00.000639000	9	PRUNED
6		2021-05-24 05:54:47.228126	2021-05-24 05:54:47.228819	0 days 00:00:00.000693000	7	PRUNED
7		2021-05-24 05:54:47.327755	2021-05-24 05:54:47.328480	0 days 00:00:00.000725000	9	PRUNED
8		2021-05-24 05:54:47.426473	2021-05-24 05:54:47.427239	0 days 00:00:00.000766000	7	PRUNED
9		2021-05-24 05:54:47.524792	2021-05-24 05:54:47.525600	0 days 00:00:00.000808000	9	PRUNED
10	0.0856312653838366	2021-05-24 05:54:47.624977	2021-05-24 06:07:47.184208	0 days 00:12:59.559231000	5	COMPLETE
