number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.622473206314941	2021-05-23 07:35:37.786735	2021-05-23 07:51:36.013099	0 days 00:15:58.226364000	1	COMPLETE
1	0.7525370104729638	2021-05-23 07:51:36.013683	2021-05-23 08:07:36.762911	0 days 00:16:00.749228000	9	COMPLETE
2	1.1885962257156604	2021-05-23 08:07:36.763463	2021-05-23 08:22:50.033117	0 days 00:15:13.269654000	3	COMPLETE
3		2021-05-23 08:22:50.033723	2021-05-23 08:22:50.034186	0 days 00:00:00.000463000	1	PRUNED
4	0.8381703016750391	2021-05-23 08:22:50.125612	2021-05-23 08:38:25.442687	0 days 00:15:35.317075000	7	COMPLETE
5		2021-05-23 08:38:25.443360	2021-05-23 08:38:25.443893	0 days 00:00:00.000533000	1	PRUNED
6		2021-05-23 08:38:25.532080	2021-05-23 08:38:25.532753	0 days 00:00:00.000673000	7	PRUNED
7		2021-05-23 08:38:25.620934	2021-05-23 08:38:25.621631	0 days 00:00:00.000697000	9	PRUNED
8		2021-05-23 08:38:25.709656	2021-05-23 08:38:25.710392	0 days 00:00:00.000736000	7	PRUNED
9		2021-05-23 08:38:25.798403	2021-05-23 08:38:25.799180	0 days 00:00:00.000777000	3	PRUNED
10		2021-05-23 08:38:25.887311	2021-05-23 08:38:26.028630	0 days 00:00:00.141319000	9	PRUNED
11		2021-05-23 08:38:26.118881	2021-05-23 08:38:26.120937	0 days 00:00:00.002056000	7	PRUNED
12		2021-05-23 08:38:26.210936	2021-05-23 08:38:26.213024	0 days 00:00:00.002088000	9	PRUNED
13	0.9857833601939571	2021-05-23 08:38:26.303274	2021-05-23 08:52:36.223077	0 days 00:14:09.919803000	5	COMPLETE
