number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	3.945268403683848	2021-05-23 12:43:35.269971	2021-05-23 12:55:14.402353	0 days 00:11:39.132382000	1	COMPLETE
1	2.1007297903834163	2021-05-23 12:55:14.436216	2021-05-23 13:11:16.313512	0 days 00:16:01.877296000	9	COMPLETE
2		2021-05-23 13:11:16.326971	2021-05-23 13:11:16.327354	0 days 00:00:00.000383000	1	PRUNED
3	2.1568253727057396	2021-05-23 13:11:16.381009	2021-05-23 13:27:49.347110	0 days 00:16:32.966101000	7	COMPLETE
4		2021-05-23 13:27:49.347646	2021-05-23 13:27:49.348078	0 days 00:00:00.000432000	7	PRUNED
5		2021-05-23 13:27:49.403057	2021-05-23 13:27:49.403562	0 days 00:00:00.000505000	7	PRUNED
6		2021-05-23 13:27:49.456282	2021-05-23 13:27:49.456850	0 days 00:00:00.000568000	1	PRUNED
7		2021-05-23 13:27:49.509212	2021-05-23 13:27:49.509816	0 days 00:00:00.000604000	9	PRUNED
8	2.5324200450972114	2021-05-23 13:27:49.562239	2021-05-23 13:44:16.459706	0 days 00:16:26.897467000	3	COMPLETE
9		2021-05-23 13:44:16.460418	2021-05-23 13:44:16.461058	0 days 00:00:00.000640000	3	PRUNED
10		2021-05-23 13:44:16.521177	2021-05-23 13:44:16.760551	0 days 00:00:00.239374000	9	PRUNED
11		2021-05-23 13:44:16.827817	2021-05-23 13:44:16.829391	0 days 00:00:00.001574000	7	PRUNED
12		2021-05-23 13:44:16.886804	2021-05-23 13:44:16.888546	0 days 00:00:00.001742000	9	PRUNED
13	2.228526952923399	2021-05-23 13:44:16.944608	2021-05-23 14:01:11.237434	0 days 00:16:54.292826000	5	COMPLETE
