number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.9469547181462623	2021-05-23 10:36:18.713909	2021-05-23 10:50:34.516007	0 days 00:14:15.802098000	5	COMPLETE
1		2021-05-23 10:50:34.516558	2021-05-23 10:50:34.517006	0 days 00:00:00.000448000	5	PRUNED
2	1.209044415067871	2021-05-23 10:50:34.623902	2021-05-23 11:04:22.380192	0 days 00:13:47.756290000	3	COMPLETE
3	0.8769350557434227	2021-05-23 11:04:22.380838	2021-05-23 11:18:21.928752	0 days 00:13:59.547914000	7	COMPLETE
4		2021-05-23 11:18:21.929404	2021-05-23 11:18:21.929918	0 days 00:00:00.000514000	7	PRUNED
5	0.8449570639530878	2021-05-23 11:18:22.034776	2021-05-23 11:31:40.050076	0 days 00:13:18.015300000	9	COMPLETE
6		2021-05-23 11:31:40.050841	2021-05-23 11:31:40.051473	0 days 00:00:00.000632000	5	PRUNED
7		2021-05-23 11:31:40.162282	2021-05-23 11:31:40.163053	0 days 00:00:00.000771000	3	PRUNED
8		2021-05-23 11:31:40.274462	2021-05-23 11:31:40.275287	0 days 00:00:00.000825000	7	PRUNED
9		2021-05-23 11:31:40.386289	2021-05-23 11:31:40.387152	0 days 00:00:00.000863000	9	PRUNED
10		2021-05-23 11:31:40.498771	2021-05-23 11:31:40.623230	0 days 00:00:00.124459000	9	PRUNED
11		2021-05-23 11:31:40.734370	2021-05-23 11:31:40.736571	0 days 00:00:00.002201000	9	PRUNED
12		2021-05-23 11:31:40.847388	2021-05-23 11:31:40.849603	0 days 00:00:00.002215000	7	PRUNED
13		2021-05-23 11:31:40.960517	2021-05-23 11:31:40.962760	0 days 00:00:00.002243000	7	PRUNED
14		2021-05-23 11:31:41.073659	2021-05-23 11:31:41.075952	0 days 00:00:00.002293000	9	PRUNED
15	3.640491267864682	2021-05-23 11:31:41.187300	2021-05-23 11:45:30.293040	0 days 00:13:49.105740000	1	COMPLETE
