number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.08565909950611496	2021-05-24 01:11:12.463091	2021-05-24 01:26:14.470764	0 days 00:15:02.007673000	5	COMPLETE
1		2021-05-24 01:26:14.471301	2021-05-24 01:26:14.490753	0 days 00:00:00.019452000	5	PRUNED
2	0.06903358294838957	2021-05-24 01:26:14.576119	2021-05-24 01:41:39.969358	0 days 00:15:25.393239000	3	COMPLETE
3	0.11224287367301779	2021-05-24 01:41:39.969916	2021-05-24 01:56:22.324792	0 days 00:14:42.354876000	9	COMPLETE
4		2021-05-24 01:56:22.325393	2021-05-24 01:56:22.384160	0 days 00:00:00.058767000	5	PRUNED
5		2021-05-24 01:56:22.469795	2021-05-24 01:56:22.470403	0 days 00:00:00.000608000	5	PRUNED
6		2021-05-24 01:56:22.556132	2021-05-24 01:56:22.556788	0 days 00:00:00.000656000	9	PRUNED
7	0.052049701274844234	2021-05-24 01:56:22.643043	2021-05-24 02:11:29.948295	0 days 00:15:07.305252000	1	COMPLETE
8		2021-05-24 02:11:29.949196	2021-05-24 02:11:29.949886	0 days 00:00:00.000690000	5	PRUNED
9	0.10193637388132705	2021-05-24 02:11:30.037299	2021-05-24 02:26:16.528491	0 days 00:14:46.491192000	7	COMPLETE
