number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	3.1668456481670915	2021-05-23 07:32:02.274766	2021-05-23 07:48:16.150173	0 days 00:16:13.875407000	1	COMPLETE
1	1.9746338869185815	2021-05-23 07:48:16.150936	2021-05-23 08:05:05.250176	0 days 00:16:49.099240000	3	COMPLETE
2	1.5676752533311602	2021-05-23 08:05:05.250799	2021-05-23 08:17:51.836213	0 days 00:12:46.585414000	7	COMPLETE
3		2021-05-23 08:17:51.836876	2021-05-23 08:17:51.837379	0 days 00:00:00.000503000	1	PRUNED
4		2021-05-23 08:17:51.944687	2021-05-23 08:17:51.945347	0 days 00:00:00.000660000	7	PRUNED
5	1.7009087071511868	2021-05-23 08:17:52.052013	2021-05-23 08:30:30.910150	0 days 00:12:38.858137000	5	COMPLETE
6		2021-05-23 08:30:30.910878	2021-05-23 08:30:30.911481	0 days 00:00:00.000603000	5	PRUNED
7		2021-05-23 08:30:31.017203	2021-05-23 08:30:31.017927	0 days 00:00:00.000724000	5	PRUNED
8		2021-05-23 08:30:31.123185	2021-05-23 08:30:31.123965	0 days 00:00:00.000780000	5	PRUNED
9		2021-05-23 08:30:31.228290	2021-05-23 08:30:31.229100	0 days 00:00:00.000810000	3	PRUNED
10	1.4984878223051872	2021-05-23 08:30:31.335256	2021-05-23 08:43:13.420285	0 days 00:12:42.085029000	9	COMPLETE
