number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.07725394440672972	2021-05-24 04:23:50.640580	2021-05-24 04:36:37.255777	0 days 00:12:46.615197000	9	COMPLETE
1	0.05928824376945376	2021-05-24 04:36:37.256207	2021-05-24 04:48:38.304511	0 days 00:12:01.048304000	5	COMPLETE
2	0.07836952219686735	2021-05-24 04:48:38.305063	2021-05-24 05:00:08.876481	0 days 00:11:30.571418000	7	COMPLETE
3	0.0466243844627722	2021-05-24 05:00:08.877117	2021-05-24 05:11:48.184417	0 days 00:11:39.307300000	1	COMPLETE
4		2021-05-24 05:11:48.185116	2021-05-24 05:11:48.185628	0 days 00:00:00.000512000	5	PRUNED
5		2021-05-24 05:11:48.273037	2021-05-24 05:11:48.273655	0 days 00:00:00.000618000	9	PRUNED
6		2021-05-24 05:11:48.361004	2021-05-24 05:11:48.361665	0 days 00:00:00.000661000	9	PRUNED
7		2021-05-24 05:11:48.448452	2021-05-24 05:11:48.449150	0 days 00:00:00.000698000	5	PRUNED
8		2021-05-24 05:11:48.535396	2021-05-24 05:11:48.536128	0 days 00:00:00.000732000	9	PRUNED
9		2021-05-24 05:11:48.623149	2021-05-24 05:11:48.623936	0 days 00:00:00.000787000	1	PRUNED
10		2021-05-24 05:11:48.711099	2021-05-24 05:11:48.713355	0 days 00:00:00.002256000	7	PRUNED
11		2021-05-24 05:11:48.800199	2021-05-24 05:11:48.802253	0 days 00:00:00.002054000	7	PRUNED
12		2021-05-24 05:11:48.888965	2021-05-24 05:11:48.891029	0 days 00:00:00.002064000	7	PRUNED
13		2021-05-24 05:11:48.977412	2021-05-24 05:11:48.979613	0 days 00:00:00.002201000	7	PRUNED
14	0.04526278951791358	2021-05-24 05:11:49.066410	2021-05-24 05:23:53.344136	0 days 00:12:04.277726000	3	COMPLETE
