number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.08218751808674793	2021-05-24 02:16:48.420615	2021-05-24 02:30:50.789907	0 days 00:14:02.369292000	5	COMPLETE
1	0.08508848817240774	2021-05-24 02:30:50.790361	2021-05-24 02:44:35.401244	0 days 00:13:44.610883000	9	COMPLETE
2	0.06811707036430252	2021-05-24 02:44:35.401883	2021-05-24 02:58:18.579332	0 days 00:13:43.177449000	3	COMPLETE
3	0.037531282764567395	2021-05-24 02:58:18.579824	2021-05-24 03:11:29.795761	0 days 00:13:11.215937000	1	COMPLETE
4		2021-05-24 03:11:29.796456	2021-05-24 03:11:29.797020	0 days 00:00:00.000564000	3	PRUNED
5		2021-05-24 03:11:29.888478	2021-05-24 03:11:29.889152	0 days 00:00:00.000674000	1	PRUNED
6		2021-05-24 03:11:29.980346	2021-05-24 03:11:29.981051	0 days 00:00:00.000705000	1	PRUNED
7		2021-05-24 03:11:30.072232	2021-05-24 03:11:30.072966	0 days 00:00:00.000734000	3	PRUNED
8		2021-05-24 03:11:30.164425	2021-05-24 03:11:30.165194	0 days 00:00:00.000769000	1	PRUNED
9		2021-05-24 03:11:30.256444	2021-05-24 03:11:30.257245	0 days 00:00:00.000801000	9	PRUNED
10		2021-05-24 03:11:30.349008	2021-05-24 03:11:30.351396	0 days 00:00:00.002388000	9	PRUNED
11	0.08605442008380693	2021-05-24 03:11:30.442944	2021-05-24 03:24:18.043844	0 days 00:12:47.600900000	7	COMPLETE
