number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.07965781179879922	2021-05-24 02:27:56.862657	2021-05-24 02:43:40.411005	0 days 00:15:43.548348000	7	COMPLETE
1	0.04634259060855248	2021-05-24 02:43:40.411460	2021-05-24 02:58:32.350375	0 days 00:14:51.938915000	1	COMPLETE
2	0.08099126713668678	2021-05-24 02:58:32.350938	2021-05-24 03:13:27.935450	0 days 00:14:55.584512000	5	COMPLETE
3	0.06508817098383508	2021-05-24 03:13:27.955018	2021-05-24 03:28:47.964167	0 days 00:15:20.009149000	3	COMPLETE
4		2021-05-24 03:28:47.964740	2021-05-24 03:28:47.965246	0 days 00:00:00.000506000	5	PRUNED
5		2021-05-24 03:28:48.048590	2021-05-24 03:28:48.049180	0 days 00:00:00.000590000	1	PRUNED
6		2021-05-24 03:28:48.132601	2021-05-24 03:28:48.133235	0 days 00:00:00.000634000	5	PRUNED
7		2021-05-24 03:28:48.216581	2021-05-24 03:28:48.217253	0 days 00:00:00.000672000	3	PRUNED
8		2021-05-24 03:28:48.300582	2021-05-24 03:28:48.301290	0 days 00:00:00.000708000	5	PRUNED
9		2021-05-24 03:28:48.384624	2021-05-24 03:28:48.385360	0 days 00:00:00.000736000	1	PRUNED
10	0.08204284657810682	2021-05-24 03:28:48.469090	2021-05-24 03:43:16.557350	0 days 00:14:28.088260000	9	COMPLETE
