number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.11371782496637775	2021-05-24 01:09:44.451853	2021-05-24 01:23:17.530980	0 days 00:13:33.079127000	9	COMPLETE
1	0.10551849107171768	2021-05-24 01:23:17.531506	2021-05-24 01:35:53.714279	0 days 00:12:36.182773000	5	COMPLETE
2	0.044842808843960795	2021-05-24 01:35:53.714868	2021-05-24 01:49:02.611116	0 days 00:13:08.896248000	1	COMPLETE
3	0.10998017709376862	2021-05-24 01:49:02.611694	2021-05-24 02:02:29.840002	0 days 00:13:27.228308000	7	COMPLETE
4		2021-05-24 02:02:29.840697	2021-05-24 02:02:29.866753	0 days 00:00:00.026056000	7	PRUNED
5		2021-05-24 02:02:29.960852	2021-05-24 02:02:29.961532	0 days 00:00:00.000680000	1	PRUNED
6		2021-05-24 02:02:30.054905	2021-05-24 02:02:30.055631	0 days 00:00:00.000726000	9	PRUNED
7		2021-05-24 02:02:30.148070	2021-05-24 02:02:30.148803	0 days 00:00:00.000733000	9	PRUNED
8		2021-05-24 02:02:30.241330	2021-05-24 02:02:30.242107	0 days 00:00:00.000777000	1	PRUNED
9		2021-05-24 02:02:30.334582	2021-05-24 02:02:30.335396	0 days 00:00:00.000814000	5	PRUNED
10		2021-05-24 02:02:30.426460	2021-05-24 02:02:30.596026	0 days 00:00:00.169566000	9	PRUNED
11		2021-05-24 02:02:30.689024	2021-05-24 02:02:30.691187	0 days 00:00:00.002163000	7	PRUNED
12		2021-05-24 02:02:30.783756	2021-05-24 02:02:30.785976	0 days 00:00:00.002220000	7	PRUNED
13		2021-05-24 02:02:30.879921	2021-05-24 02:02:30.882148	0 days 00:00:00.002227000	7	PRUNED
14		2021-05-24 02:02:30.976469	2021-05-24 02:02:30.978721	0 days 00:00:00.002252000	9	PRUNED
15	0.08455675213285234	2021-05-24 02:02:31.070310	2021-05-24 02:15:41.544500	0 days 00:13:10.474190000	3	COMPLETE
