number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.3969847425622655	2021-05-23 06:51:34.085421	2021-05-23 07:04:51.737911	0 days 00:13:17.652490000	1	COMPLETE
1	1.0962645811405871	2021-05-23 07:04:51.738478	2021-05-23 07:18:42.447706	0 days 00:13:50.709228000	7	COMPLETE
2		2021-05-23 07:18:42.448258	2021-05-23 07:18:42.448673	0 days 00:00:00.000415000	1	PRUNED
3		2021-05-23 07:18:42.550657	2021-05-23 07:18:42.551261	0 days 00:00:00.000604000	7	PRUNED
4	1.0957543014705977	2021-05-23 07:18:42.653928	2021-05-23 07:32:31.164635	0 days 00:13:48.510707000	9	COMPLETE
5	1.208221874451758	2021-05-23 07:32:31.165411	2021-05-23 07:50:41.514718	0 days 00:18:10.349307000	3	COMPLETE
6		2021-05-23 07:50:41.515473	2021-05-23 07:50:41.516056	0 days 00:00:00.000583000	1	PRUNED
7		2021-05-23 07:50:41.640940	2021-05-23 07:50:41.641655	0 days 00:00:00.000715000	1	PRUNED
8		2021-05-23 07:50:41.765858	2021-05-23 07:50:41.766620	0 days 00:00:00.000762000	7	PRUNED
9	1.1242955096427798	2021-05-23 07:50:41.890925	2021-05-23 08:08:53.876338	0 days 00:18:11.985413000	5	COMPLETE
