Time (of recording)	Data split	Random seed	MSE loss
2021-06-06 20:39:57.291632	random	0	111.55928613753284
2021-06-06 20:39:57.521581	random	1	123.13862726612923
2021-06-06 20:39:57.782446	random	2	119.7413971468231
2021-06-06 20:39:57.989048	random	3	88.31773247106199
2021-06-06 20:39:58.188593	random	4	121.05771429206844
