Time (of recording)	Data split	Random seed	NLL loss
2021-06-06 20:37:00.450177	random	0	0.7054532495553117
2021-06-06 20:37:00.671536	random	1	0.7055074537745047
2021-06-06 20:37:00.930824	random	2	0.7050707621566562
2021-06-06 20:37:01.136231	random	3	0.7070603582239311
2021-06-06 20:37:01.399275	random	4	0.7061180669794948
