number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
0	1.2365060029599588	2020-07-06 12:36:01.060701	2020-07-06 12:36:45.917971	0 days 00:00:44.857270000	0.05	2.8784087048938462e-05	flat	7	3	COMPLETE
1	2.7066385176923626	2020-07-06 12:36:45.918523	2020-07-06 12:44:26.517503	0 days 00:07:40.598980000	0.25	0.08412375482972387	flat	10	2	COMPLETE
2	2.7066385176923626	2020-07-06 12:44:26.518001	2020-07-06 12:51:12.747440	0 days 00:06:46.229439000	0.05	0.0967561145184363		10	1	COMPLETE
3	2.7066385176923626	2020-07-06 12:51:12.747935	2020-07-06 12:58:05.555332	0 days 00:06:52.807397000	0.0	0.06561816058695423	pyramid_4	9	2	COMPLETE
4	1.2396372824242228	2020-07-06 12:58:05.555847	2020-07-06 12:58:15.793848	0 days 00:00:10.238001000	0.5	0.01257182868407029	pyramid_4	7	3	COMPLETE
5	1.2798839405413707	2020-07-06 12:58:15.794356	2020-07-06 12:58:27.766037	0 days 00:00:11.971681000	0.5	0.03118735752969438	flat	4	3	COMPLETE
6	1.2428023878444951	2020-07-06 12:58:27.766530	2020-07-06 12:59:12.828469	0 days 00:00:45.061939000	0.1	1.024611711204901e-05	flat	6	2	COMPLETE
7	2.7066385176923626	2020-07-06 12:59:12.828973	2020-07-06 13:07:38.225721	0 days 00:08:25.396748000	0.5	0.09908862398051983	flat	10	3	COMPLETE
8	1.244479986786597	2020-07-06 13:07:38.226201	2020-07-06 13:08:36.971454	0 days 00:00:58.745253000	0.2	1.576300729054445e-05		5	1	COMPLETE
9	1.251357965141898	2020-07-06 13:08:36.971979	2020-07-06 13:08:46.941564	0 days 00:00:09.969585000	0.25	0.015620786421889759	pyramid_2	5	2	COMPLETE
10	1.2388939775484646	2020-07-06 13:08:46.942059	2020-07-06 13:09:02.439214	0 days 00:00:15.497155000	0.35000000000000003	8.558219375418802e-05	pyramid_2	8	3	COMPLETE
11	1.2391551169179384	2020-07-06 13:09:02.439719	2020-07-06 13:09:16.090615	0 days 00:00:13.650896000	0.35000000000000003	9.953752034940544e-05	pyramid_2	8	3	COMPLETE
12	1.2415636143187356	2020-07-06 13:09:16.091172	2020-07-06 13:09:27.662122	0 days 00:00:11.570950000	0.35000000000000003	0.00020360155574939025	pyramid_2	8	3	COMPLETE
13	1.2368417387779822	2020-07-06 13:09:27.662645	2020-07-06 13:09:46.555331	0 days 00:00:18.892686000	0.4	5.8323470486398515e-05	pyramid_2	7	3	COMPLETE
14	1.2457932684469173	2020-07-06 13:09:46.555836	2020-07-06 13:09:57.640583	0 days 00:00:11.084747000	0.4	0.0012526194702289677	pyramid_2	7	3	COMPLETE
15	1.2411810975619035	2020-07-06 13:09:57.641090	2020-07-06 13:10:21.458222	0 days 00:00:23.817132000	0.15000000000000002	2.4366702393045745e-05	flat	6	2	COMPLETE
16	1.2420278503869728	2020-07-06 13:10:21.458724	2020-07-06 13:10:32.738564	0 days 00:00:11.279840000	0.0	0.0007311946126885958	pyramid_4	6	3	COMPLETE
17	1.2363898004326679	2020-07-06 13:10:32.739084	2020-07-06 13:10:51.695017	0 days 00:00:18.955933000	0.4	5.223530351299778e-05	pyramid_2	7	3	COMPLETE
18	1.2475803274829438	2020-07-06 13:10:51.695517	2020-07-06 13:11:10.260672	0 days 00:00:18.565155000	0.30000000000000004	0.00043652429741155164	flat	9	2	COMPLETE
19	1.2488100437298264	2020-07-06 13:11:10.261201	2020-07-06 13:11:20.315177	0 days 00:00:10.053976000	0.45	0.0019370615396883436		5	1	COMPLETE
20	1.2390920335564897	2020-07-06 13:11:20.315654	2020-07-06 13:11:52.829410	0 days 00:00:32.513756000	0.15000000000000002	3.96599814552338e-05	flat	8	3	COMPLETE
21	1.2363201223939493	2020-07-06 13:11:52.829908	2020-07-06 13:12:11.926912	0 days 00:00:19.097004000	0.4	4.3868134266374434e-05	pyramid_2	7	3	COMPLETE
22	1.2369721157004554	2020-07-06 13:12:11.927406	2020-07-06 13:12:26.590529	0 days 00:00:14.663123000	0.45	0.00023227929426134668	pyramid_2	6	3	COMPLETE
23	1.2360537792925272	2020-07-06 13:12:26.591038	2020-07-06 13:12:51.034929	0 days 00:00:24.443891000	0.30000000000000004	2.6388583275085215e-05	pyramid_2	7	3	COMPLETE
24	1.2410449989119716	2020-07-06 13:12:51.035444	2020-07-06 13:13:32.479421	0 days 00:00:41.443977000	0.30000000000000004	1.0396749839630768e-05	pyramid_2	9	3	COMPLETE
25	1.2376263932822456	2020-07-06 13:13:32.479921	2020-07-06 13:14:06.247311	0 days 00:00:33.767390000	0.4	0.00016888162231019324	pyramid_2	7	3	COMPLETE
26	1.2382776529033075	2020-07-06 13:14:06.247800	2020-07-06 13:14:38.948186	0 days 00:00:32.700386000	0.30000000000000004	1.943350467787822e-05	pyramid_2	6	2	COMPLETE
27	1.2394604574387442	2020-07-06 13:14:38.948687	2020-07-06 13:14:53.833904	0 days 00:00:14.885217000	0.45	4.8263915618637165e-05	pyramid_2	8	3	COMPLETE
28	1.2375280913211208	2020-07-06 13:14:53.834416	2020-07-06 13:15:08.237832	0 days 00:00:14.403416000	0.35000000000000003	0.0001130508364173773	pyramid_2	7	3	COMPLETE
29	1.2394064313561723	2020-07-06 13:15:08.238332	2020-07-06 13:15:27.338275	0 days 00:00:19.099943000	0.4	3.035976878343337e-05	pyramid_2	7	2	COMPLETE
30	1.2502183376551934	2020-07-06 13:15:27.338776	2020-07-06 13:15:37.206566	0 days 00:00:09.867790000	0.30000000000000004	0.004068864667341755	pyramid_2	6	3	COMPLETE
31	1.2417890782334768	2020-07-06 13:15:37.207060	2020-07-06 13:16:04.179626	0 days 00:00:26.972566000	0.25	1.1077289697272274e-05	pyramid_2	8	3	COMPLETE
32	1.236929898217177	2020-07-06 13:16:04.180151	2020-07-06 13:16:23.455067	0 days 00:00:19.274916000	0.2	4.460165704778383e-05	pyramid_2	7	3	COMPLETE
33	1.2366963977294663	2020-07-06 13:16:23.455566	2020-07-06 13:16:51.215083	0 days 00:00:27.759517000	0.2	1.9900559041855542e-05	flat	7	3	COMPLETE
34	1.2374963747107648	2020-07-06 13:16:51.215600	2020-07-06 13:17:06.056045	0 days 00:00:14.840445000	0.05	7.550259029497796e-05	pyramid_4	8	3	COMPLETE
35	1.2469557437814995	2020-07-06 13:17:06.056542	2020-07-06 13:17:15.983112	0 days 00:00:09.926570000	0.45	0.00044123072756788726	flat	9	3	COMPLETE
36	1.2420633729905715	2020-07-06 13:17:15.983624	2020-07-06 13:17:40.424250	0 days 00:00:24.440626000	0.35000000000000003	3.021053713586927e-05	pyramid_4	6	2	COMPLETE
37	1.236624246899065	2020-07-06 13:17:40.424747	2020-07-06 13:18:22.559962	0 days 00:00:42.135215000	0.5	1.467601566228411e-05	pyramid_2	7	3	COMPLETE
38	1.2335630649649656	2020-07-06 13:18:22.560468	2020-07-06 13:18:37.271900	0 days 00:00:14.711432000	0.4	0.00014820204244609653	flat	6	3	COMPLETE
39	1.2376386944018605	2020-07-06 13:18:37.272396	2020-07-06 13:18:50.888059	0 days 00:00:13.615663000	0.4	0.0003077189288409635	flat	5	3	COMPLETE
40	1.231989000587818	2020-07-06 13:18:50.888558	2020-07-06 13:19:31.613089	0 days 00:00:40.724531000	0.45	0.00015913659449236066	pyramid_2	4	2	COMPLETE
41	1.238183566236796	2020-07-06 13:19:31.613596	2020-07-06 13:19:54.190230	0 days 00:00:22.576634000	0.45	0.00017045248276565872		4	1	COMPLETE
42	1.233944117747601	2020-07-06 13:19:54.190725	2020-07-06 13:20:49.632657	0 days 00:00:55.441932000	0.5	6.56900938760764e-05	pyramid_2	4	2	COMPLETE
43	1.233556147601968	2020-07-06 13:20:49.633149	2020-07-06 13:21:36.496163	0 days 00:00:46.863014000	0.5	8.928848587165529e-05	pyramid_2	4	2	COMPLETE
