number	value	datetime_start	datetime_complete	duration	params_dropout	params_init_lr	params_layer_size_architecture	params_max_layer_size_exponent	params_num_layers	state
35	1.6648673396126792	2020-06-30 16:31:24.696966	2020-06-30 16:32:10.878418	0 days 00:00:46.181452000	0.0	2.83751434701411e-05		4	1	COMPLETE
36	1.6513318812518716	2020-06-30 16:32:10.878913	2020-06-30 16:32:22.247202	0 days 00:00:11.368289000	0.05	0.0005299947894657236	pyramid_4	6	2	COMPLETE
37	1.6523669594434574	2020-06-30 16:32:22.247691	2020-06-30 16:32:43.775782	0 days 00:00:21.528091000	0.30000000000000004	7.527746003092471e-05	flat	6	2	COMPLETE
38	1.6641318865067551	2020-06-30 16:32:43.776285	2020-06-30 16:32:57.045820	0 days 00:00:13.269535000	0.1	0.0009913550044348355		4	1	COMPLETE
39	1.6720133118614957	2020-06-30 16:32:57.046323	2020-06-30 16:33:05.221545	0 days 00:00:08.175222000	0.35000000000000003	0.009285498551303364	pyramid_4	5	2	COMPLETE
40	1.6625787096507734	2020-06-30 16:33:05.222080	2020-06-30 16:33:19.719260	0 days 00:00:14.497180000	0.2	0.00019080394585624583		5	1	COMPLETE
41	1.6514979353436983	2020-06-30 16:33:19.719740	2020-06-30 16:33:35.769365	0 days 00:00:16.049625000	0.25	0.00035742096856297456	pyramid_4	5	2	COMPLETE
42	1.6545500249606964	2020-06-30 16:33:35.769873	2020-06-30 16:34:18.322587	0 days 00:00:42.552714000	0.15000000000000002	9.176865840138672e-05	pyramid_4	4	2	COMPLETE
43	1.6512080731836098	2020-06-30 16:34:18.323081	2020-06-30 16:34:33.711615	0 days 00:00:15.388534000	0.2	0.0001911168613184066	pyramid_4	5	2	COMPLETE
44	1.651711167536122	2020-06-30 16:34:33.712099	2020-06-30 16:34:44.419343	0 days 00:00:10.707244000	0.25	0.0003385980355724109	flat	6	2	COMPLETE
45	1.6511153591334913	2020-06-30 16:34:44.419844	2020-06-30 16:34:55.337972	0 days 00:00:10.918128000	0.15000000000000002	0.0005222491515101922	pyramid_4	5	2	COMPLETE
46	1.6498581743851066	2020-06-30 16:34:55.338470	2020-06-30 16:35:06.324778	0 days 00:00:10.986308000	0.15000000000000002	0.0007449777931841736	pyramid_4	4	2	COMPLETE
47	1.6520375506862301	2020-06-30 16:35:06.325280	2020-06-30 16:35:18.729791	0 days 00:00:12.404511000	0.1	0.0007785087342036648	flat	4	2	COMPLETE
48	1.6538233224954362	2020-06-30 16:35:18.730293	2020-06-30 16:35:29.682391	0 days 00:00:10.952098000	0.05	0.0012356929420588834	pyramid_4	4	2	COMPLETE
49	1.6590879463681556	2020-06-30 16:35:29.682884	2020-06-30 16:35:41.808863	0 days 00:00:12.125979000	0.2	0.0022120828235696896	pyramid_4	4	2	COMPLETE
50	1.6545228901013114	2020-06-30 16:35:41.809374	2020-06-30 16:35:54.651734	0 days 00:00:12.842360000	0.0	0.00015359248324555084	pyramid_4	7	3	COMPLETE
51	1.65158367587555	2020-06-30 16:35:54.652231	2020-06-30 16:36:05.548383	0 days 00:00:10.896152000	0.15000000000000002	0.000485418203423984	pyramid_4	5	2	COMPLETE
52	1.651093735603059	2020-06-30 16:36:05.548889	2020-06-30 16:36:16.516747	0 days 00:00:10.967858000	0.15000000000000002	0.000604375544632321	pyramid_4	5	2	COMPLETE
53	1.6528238261184263	2020-06-30 16:36:16.517241	2020-06-30 16:36:27.341274	0 days 00:00:10.824033000	0.1	0.0009017977696717088	pyramid_4	5	2	COMPLETE
54	1.6598304967160578	2020-06-30 16:36:27.341778	2020-06-30 16:36:39.274380	0 days 00:00:11.932602000	0.2	0.0014412407705717083	pyramid_2	6	2	COMPLETE
55	1.6540296655266689	2020-06-30 16:36:39.274876	2020-06-30 16:37:03.537541	0 days 00:00:24.262665000	0.15000000000000002	0.00010748912660865088	pyramid_4	5	2	COMPLETE
56	1.6687911246368372	2020-06-30 16:37:03.538039	2020-06-30 16:37:11.449934	0 days 00:00:07.911895000	0.1	0.0006342064700344386	pyramid_4	10	2	COMPLETE
57	1.6508756388192636	2020-06-30 16:37:11.450444	2020-06-30 16:37:26.900771	0 days 00:00:15.450327000	0.15000000000000002	0.0003577861834559866	pyramid_4	4	2	COMPLETE
58	1.6538015414984624	2020-06-30 16:37:26.901252	2020-06-30 16:38:42.161296	0 days 00:01:15.260044000	0.2	4.394790351069964e-05	pyramid_4	4	2	COMPLETE
59	1.6526118480345295	2020-06-30 16:38:42.161805	2020-06-30 16:38:53.080638	0 days 00:00:10.918833000	0.05	0.0003456644295926458	pyramid_2	4	2	COMPLETE
60	1.6538322306026416	2020-06-30 16:38:53.081121	2020-06-30 16:39:15.326660	0 days 00:00:22.245539000	0.1	0.00017690047300191497	pyramid_4	4	2	COMPLETE
61	1.6500752982506277	2020-06-30 16:39:15.327151	2020-06-30 16:39:30.608073	0 days 00:00:15.280922000	0.15000000000000002	0.0002834470516646699	pyramid_4	5	2	COMPLETE
62	1.649245455200679	2020-06-30 16:39:30.608575	2020-06-30 16:39:45.946331	0 days 00:00:15.337756000	0.15000000000000002	0.0002951058411767526	pyramid_4	5	2	COMPLETE
63	1.6540988833192722	2020-06-30 16:39:45.946841	2020-06-30 16:40:01.350945	0 days 00:00:15.404104000	0.2	0.00023727132598935283	pyramid_4	6	2	COMPLETE
64	1.6549567160469743	2020-06-30 16:40:01.351456	2020-06-30 16:40:21.271184	0 days 00:00:19.919728000	0.15000000000000002	0.00013228609451684163	pyramid_4	5	2	COMPLETE
65	1.6538336759205403	2020-06-30 16:40:21.271693	2020-06-30 16:40:54.346876	0 days 00:00:33.075183000	0.2	7.419445038992719e-05	pyramid_4	5	2	COMPLETE
66	1.653598685226363	2020-06-30 16:40:54.347397	2020-06-30 16:41:06.688193	0 days 00:00:12.340796000	0.15000000000000002	0.0002543368004466931	pyramid_4	6	2	COMPLETE
67	1.6513582906404047	2020-06-30 16:41:06.688690	2020-06-30 16:41:17.697213	0 days 00:00:11.008523000	0.1	0.00043011508978038604	pyramid_4	5	2	COMPLETE
68	1.6690868411779864	2020-06-30 16:41:17.697709	2020-06-30 16:41:26.532725	0 days 00:00:08.835016000	0.15000000000000002	0.0010166517566616115	pyramid_4	9	2	COMPLETE
69	1.6664794539456256	2020-06-30 16:41:26.533225	2020-06-30 16:41:35.701119	0 days 00:00:09.167894000	0.05	0.0035618160204142265	flat	6	2	COMPLETE
70	1.651573777978655	2020-06-30 16:41:35.701616	2020-06-30 16:41:51.249765	0 days 00:00:15.548149000	0.1	0.0002912960647750776	pyramid_4	5	2	COMPLETE
71	1.6512940780342993	2020-06-30 16:41:51.250275	2020-06-30 16:42:06.815415	0 days 00:00:15.565140000	0.15000000000000002	0.0004039492527395566	pyramid_4	4	2	COMPLETE
72	1.6529916685802601	2020-06-30 16:42:06.815907	2020-06-30 16:42:22.832242	0 days 00:00:16.016335000	0.2	0.00016832094150112347	pyramid_4	5	2	COMPLETE
73	1.650801292116451	2020-06-30 16:42:22.832738	2020-06-30 16:42:33.738962	0 days 00:00:10.906224000	0.15000000000000002	0.0006740556144781502	pyramid_4	5	2	COMPLETE
74	1.6618048684515514	2020-06-30 16:42:33.739490	2020-06-30 16:42:42.472242	0 days 00:00:08.732752000	0.5	0.0015548397211470977	pyramid_4	5	2	COMPLETE
75	1.650650101741382	2020-06-30 16:42:42.472734	2020-06-30 16:42:53.228043	0 days 00:00:10.755309000	0.2	0.0006556393201575251	pyramid_4	5	2	COMPLETE
76	1.6526238042440742	2020-06-30 16:42:53.228533	2020-06-30 16:43:19.390234	0 days 00:00:26.161701000	0.2	0.00011110648152919825	pyramid_4	5	2	COMPLETE
77	1.6546045814935242	2020-06-30 16:43:19.390766	2020-06-30 16:43:30.737303	0 days 00:00:11.346537000	0.25	0.0008220687635285645	pyramid_4	6	2	COMPLETE
78	1.6544826011619052	2020-06-30 16:43:30.737805	2020-06-30 16:43:42.919260	0 days 00:00:12.181455000	0.2	0.0002193034064020995	pyramid_2	6	2	COMPLETE
79	1.651911183786669	2020-06-30 16:43:42.919779	2020-06-30 16:43:53.682774	0 days 00:00:10.762995000	0.25	0.0005396526802944674	pyramid_4	5	2	COMPLETE
80	1.650451570175369	2020-06-30 16:43:53.683284	2020-06-30 16:44:08.965904	0 days 00:00:15.282620000	0.30000000000000004	0.0002982659201679268	pyramid_4	5	2	COMPLETE
81	1.6514397795756357	2020-06-30 16:44:08.966405	2020-06-30 16:44:24.324921	0 days 00:00:15.358516000	0.30000000000000004	0.00026890014383361145	pyramid_4	5	2	COMPLETE
82	1.6501510171618734	2020-06-30 16:44:24.325434	2020-06-30 16:44:39.702155	0 days 00:00:15.376721000	0.30000000000000004	0.0003083990095083393	pyramid_4	5	2	COMPLETE
83	1.6527867933621465	2020-06-30 16:44:39.702652	2020-06-30 16:44:51.158604	0 days 00:00:11.455952000	0.30000000000000004	0.0004473608804659679	pyramid_4	5	2	COMPLETE
84	1.6511898014409898	2020-06-30 16:44:51.159102	2020-06-30 16:45:06.707328	0 days 00:00:15.548226000	0.30000000000000004	0.00033031537735283916	pyramid_4	5	2	COMPLETE
85	1.6534537822653443	2020-06-30 16:45:06.707881	2020-06-30 16:45:17.490965	0 days 00:00:10.783084000	0.35000000000000003	0.0011433685311518433	pyramid_4	5	2	COMPLETE
86	1.6529788238095169	2020-06-30 16:45:17.491466	2020-06-30 16:45:39.232316	0 days 00:00:21.740850000	0.35000000000000003	0.0001535096441708991	pyramid_4	4	2	COMPLETE
87	1.6524033004717158	2020-06-30 16:45:39.232831	2020-06-30 16:45:55.464860	0 days 00:00:16.232029000	0.25	0.0002043405354976341	pyramid_4	5	2	COMPLETE
88	1.6517429251632614	2020-06-30 16:45:55.465365	2020-06-30 16:46:06.805219	0 days 00:00:11.339854000	0.25	0.0005589417064251176	pyramid_4	6	2	COMPLETE
89	1.6538276753205479	2020-06-30 16:46:06.805719	2020-06-30 16:46:18.019944	0 days 00:00:11.214225000	0.4	0.0007761833209413354	flat	5	2	COMPLETE
90	1.6508156047003133	2020-06-30 16:46:18.020488	2020-06-30 16:46:33.365879	0 days 00:00:15.345391000	0.30000000000000004	0.0002896864789343365	pyramid_4	5	2	COMPLETE
91	1.6515539203230098	2020-06-30 16:46:33.366376	2020-06-30 16:46:44.251188	0 days 00:00:10.884812000	0.1	0.00041938468144799284	pyramid_4	5	2	COMPLETE
92	1.6538210898448298	2020-06-30 16:46:44.251689	2020-06-30 16:47:02.680988	0 days 00:00:18.429299000	0.2	0.00013818901396968689	pyramid_4	5	2	COMPLETE
93	1.6492728431312915	2020-06-30 16:47:02.681498	2020-06-30 16:47:18.490414	0 days 00:00:15.808916000	0.15000000000000002	0.00020910380117462432	pyramid_4	5	2	COMPLETE
94	1.6531170513139368	2020-06-30 16:47:18.490925	2020-06-30 16:47:36.779578	0 days 00:00:18.288653000	0.15000000000000002	0.00020035231738076422	pyramid_4	4	2	COMPLETE
95	1.6530577201706182	2020-06-30 16:47:36.780078	2020-06-30 16:48:06.070088	0 days 00:00:29.290010000	0.2	8.620457337988145e-05	pyramid_4	5	2	COMPLETE
96	1.6525861472454333	2020-06-30 16:48:06.070607	2020-06-30 16:48:18.088834	0 days 00:00:12.018227000	0.15000000000000002	0.00030454187908908703	pyramid_4	6	2	COMPLETE
97	1.651482998517475	2020-06-30 16:48:18.089373	2020-06-30 16:48:28.850514	0 days 00:00:10.761141000	0.25	0.000666488370936034	pyramid_4	5	2	COMPLETE
98	1.6517476210404813	2020-06-30 16:48:28.851014	2020-06-30 16:48:44.181594	0 days 00:00:15.330580000	0.2	0.00039057415688654215	pyramid_4	5	2	COMPLETE
99	1.6537741198250195	2020-06-30 16:48:44.182094	2020-06-30 16:48:55.494572	0 days 00:00:11.312478000	0.30000000000000004	0.0005671001881213844	pyramid_4	4	2	COMPLETE
