number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	0.0006067625313928321	2020-10-15 00:46:52.772958	2020-10-15 12:55:26.034922	0 days 12:08:33.261964000	1	COMPLETE
1		2020-10-15 12:55:26.050794	2020-10-15 12:55:26.182921	0 days 00:00:00.132127000	1	PRUNED
2		2020-10-15 12:55:40.157676	2020-10-15 12:55:40.158302	0 days 00:00:00.000626000	1	PRUNED
3	0.0010446254774092575	2020-10-15 12:55:40.237367	2020-10-16 07:01:10.934713	0 days 18:05:30.697346000	3	COMPLETE
4		2020-10-16 07:01:10.949112	2020-10-16 07:01:11.035230	0 days 00:00:00.086118000	1	PRUNED
5		2020-10-16 07:01:23.826558	2020-10-16 07:01:23.827476	0 days 00:00:00.000918000	1	PRUNED
6	0.0005548157479653297	2020-10-16 07:01:23.906643	2020-10-16 15:47:54.746891	0 days 08:46:30.840248000	0	COMPLETE
7	0.0006351264805712835	2020-10-16 15:47:54.781428	2020-10-17 01:31:55.558167	0 days 09:44:00.776739000	2	COMPLETE
