number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	0.6843499604837641	2020-07-18 10:22:08.634314	2020-07-18 17:57:52.583871	0 days 07:35:43.949557000	3	COMPLETE
1	0.5386795453009106	2020-07-18 17:57:52.609057	2020-07-19 23:54:22.718410	1 days 05:56:30.109353000	0	COMPLETE
2		2020-07-19 23:54:22.736702	2020-07-19 23:54:22.867516	0 days 00:00:00.130814000	3	PRUNED
3	0.5587434913608015	2020-07-19 23:54:36.163177	2020-07-20 08:48:52.148438	0 days 08:54:15.985261000	2	COMPLETE
4	0.538909347630988	2020-07-20 08:48:52.237531	2020-07-22 06:43:01.931579	1 days 21:54:09.694048000	1	COMPLETE
