number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	7.914906760352371	2020-07-18 10:23:12.169060	2020-07-19 02:25:23.881570	0 days 16:02:11.712510000	0	COMPLETE
1	8.12392093550995	2020-07-19 02:25:23.904642	2020-07-19 10:04:13.188303	0 days 07:38:49.283661000	3	COMPLETE
2	7.900950887869892	2020-07-19 10:04:13.217109	2020-07-21 01:52:28.421566	1 days 15:48:15.204457000	2	COMPLETE
3	7.9159602213158475	2020-07-21 01:52:28.438586	2020-07-22 00:19:08.182029	0 days 22:26:39.743443000	1	COMPLETE
