number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	1.026632125141158	2020-07-28 23:42:16.277898	2020-07-29 23:34:29.235064	0 days 23:52:12.957166000	0	COMPLETE
1	1.0805461572260824	2020-07-29 23:34:29.239042	2020-07-30 07:24:53.247758	0 days 07:50:24.008716000	3	COMPLETE
2		2020-07-30 07:24:53.272310	2020-07-30 07:24:53.414141	0 days 00:00:00.141831000	0	PRUNED
3		2020-07-30 07:25:07.044993	2020-07-30 07:25:07.045956	0 days 00:00:00.000963000	3	PRUNED
4	1.026386775092924	2020-07-30 07:25:07.131484	2020-07-31 23:30:25.779836	1 days 16:05:18.648352000	1	COMPLETE
5	1.0538733879789737	2020-07-31 23:30:25.793260	2020-08-01 07:13:37.520076	0 days 07:43:11.726816000	2	COMPLETE
