number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	0.9788480090501286	2020-07-02 13:45:20.315756	2020-07-02 14:12:10.809045	0 days 00:26:50.493289000	5	0.05	2	1900	0.00041588531561165504	COMPLETE
1	1.0341259264986462	2020-07-02 14:12:10.809634	2020-07-02 14:17:08.208883	0 days 00:04:57.399249000	2	0.30000000000000004	3	1600	0.0014798576683528822	COMPLETE
2	0.9785738334590997	2020-07-02 14:17:08.209479	2020-07-02 14:35:07.664876	0 days 00:17:59.455397000	4	0.30000000000000004	3	1000	1.4078664606874515e-05	COMPLETE
3	0.9724043693391361	2020-07-02 14:35:07.665511	2020-07-02 14:56:00.325245	0 days 00:20:52.659734000	3	0.0	1	2300	3.754523067895779e-05	COMPLETE
4	0.9754123192286855	2020-07-02 14:56:00.325854	2020-07-02 15:11:37.853478	0 days 00:15:37.527624000	6	0.05	2	1000	1.015699422207333e-05	COMPLETE
5	0.9997684584543673	2020-07-02 15:11:37.854094	2020-07-02 15:24:02.072652	0 days 00:12:24.218558000	5	0.45	1	1900	0.00014675004259197982	COMPLETE
6	0.9759654497924873	2020-07-02 15:24:02.073261	2020-07-02 15:39:15.854165	0 days 00:15:13.780904000	2	0.15000000000000002	2	600	9.498677145073645e-05	COMPLETE
7	0.983343237837493	2020-07-02 15:39:15.855077	2020-07-02 15:51:38.922553	0 days 00:12:23.067476000	4	0.05	2	1700	3.630407468337266e-05	COMPLETE
8	0.9800067094199456	2020-07-02 15:51:38.923150	2020-07-02 16:33:52.483275	0 days 00:42:13.560125000	6	0.4	2	1700	4.473072203351584e-05	COMPLETE
9	0.9871812191128259	2020-07-02 16:33:52.483904	2020-07-02 16:39:26.488939	0 days 00:05:34.005035000	2	0.05	3	1600	6.513886492990425e-05	COMPLETE
10	0.9793726167101339	2020-07-02 16:39:26.489535	2020-07-02 16:59:14.227025	0 days 00:19:47.737490000	3	0.15000000000000002	1	2300	0.0003634575002125831	COMPLETE
11	0.9726673838642943	2020-07-02 16:59:14.228095	2020-07-02 17:12:35.268705	0 days 00:13:21.040610000	3	0.0	1	1000	1.1367255681004145e-05	COMPLETE
12	0.9749296682732349	2020-07-02 17:12:35.293593	2020-07-02 17:23:55.924012	0 days 00:11:20.630419000	3	0.0	1	300	1.7843696491342643e-05	COMPLETE
13	0.9716392833362141	2020-07-02 17:23:55.924619	2020-07-02 17:53:56.702199	0 days 00:30:00.777580000	3	0.15000000000000002	1	2400	2.448781623873592e-05	COMPLETE
14	0.9709552819943388	2020-07-02 17:53:56.702870	2020-07-02 18:21:41.940197	0 days 00:27:45.237327000	3	0.15000000000000002	1	2400	2.3464318562985318e-05	COMPLETE
15	0.9823433662850639	2020-07-02 18:21:41.940840	2020-07-02 18:49:20.378155	0 days 00:27:38.437315000	4	0.2	1	2400	2.746424576915149e-05	COMPLETE
16	0.9760103927335971	2020-07-02 18:49:20.378794	2020-07-02 19:13:05.005973	0 days 00:23:44.627179000	3	0.15000000000000002	1	2100	0.00022176532924832876	COMPLETE
17	0.9849798460497854	2020-07-02 19:13:05.030793	2020-07-02 19:32:21.867328	0 days 00:19:16.836535000	2	0.25	1	2400	2.3098857395256062e-05	COMPLETE
18	0.9821564157871318	2020-07-02 19:32:21.867926	2020-07-02 19:48:40.829193	0 days 00:16:18.961267000	5	0.2	1	2100	6.494499932023868e-05	COMPLETE
19	inf	2020-07-02 19:48:40.829840	2020-07-02 19:51:30.142411	0 days 00:02:49.312571000	3	0.1	2	2100	0.0015465880652894498	COMPLETE
20	0.9812905846440866	2020-07-02 19:51:30.143084	2020-07-02 20:12:04.724413	0 days 00:20:34.581329000	4	0.35000000000000003	1	1300	1.7649125512748147e-05	COMPLETE
21	0.9716491740237	2020-07-02 20:12:04.725347	2020-07-02 20:37:36.825455	0 days 00:25:32.100108000	3	0.1	1	2400	4.069964554008296e-05	COMPLETE
22	0.9727354088542012	2020-07-02 20:37:36.826074	2020-07-02 20:58:22.771852	0 days 00:20:45.945778000	3	0.1	1	2400	6.042919099748204e-05	COMPLETE
23	0.9821377893997305	2020-07-02 20:58:22.772449	2020-07-02 21:14:38.976245	0 days 00:16:16.203796000	2	0.2	1	2200	2.368897613723999e-05	COMPLETE
24	0.9733506490365219	2020-07-02 21:14:38.977816	2020-07-02 21:31:01.318653	0 days 00:16:22.340837000	3	0.1	1	1900	9.509250284616937e-05	COMPLETE
25	0.9827260693656433	2020-07-02 21:31:01.418985	2020-07-02 21:55:59.154317	0 days 00:24:57.735332000	4	0.25	1	2400	3.1647028652436154e-05	COMPLETE
26	0.9763703124430062	2020-07-02 21:55:59.154928	2020-07-02 22:16:35.960907	0 days 00:20:36.805979000	3	0.15000000000000002	2	2000	1.0146461010971603e-05	COMPLETE
27	0.9822114236353479	2020-07-02 22:16:35.961836	2020-07-02 22:29:17.334695	0 days 00:12:41.372859000	2	0.1	1	2200	1.8114324058629407e-05	COMPLETE
28	0.9725107923765673	2020-07-02 22:29:17.335308	2020-07-02 22:44:59.796428	0 days 00:15:42.461120000	3	0.2	1	1400	5.018916675904118e-05	COMPLETE
29	0.9818189777488687	2020-07-02 22:44:59.797040	2020-07-02 23:12:58.162091	0 days 00:27:58.365051000	4	0.05	2	1800	9.806358704769627e-05	COMPLETE
30	0.9719414614389762	2020-07-02 23:12:58.163263	2020-07-02 23:29:11.545586	0 days 00:16:13.382323000	2	0.15000000000000002	2	2200	0.0001655959956950051	COMPLETE
31	0.9744170434473596	2020-07-02 23:29:11.546175	2020-07-02 23:43:02.879797	0 days 00:13:51.333622000	2	0.15000000000000002	2	2300	0.00019260827840582081	COMPLETE
32	0.9776222603565295	2020-07-02 23:43:02.880410	2020-07-03 00:02:02.699411	0 days 00:18:59.819001000	2	0.1	2	2200	0.0003423867666936106	COMPLETE
33	1.0166801737605615	2020-07-03 00:02:02.700020	2020-07-03 00:21:13.160308	0 days 00:19:10.460288000	3	0.30000000000000004	3	2400	0.0009135151874618265	COMPLETE
34	0.9969411454905072	2020-07-03 00:21:13.160916	2020-07-03 00:30:34.852630	0 days 00:09:21.691714000	2	0.2	2	2000	0.000754959828155957	COMPLETE
35	0.9781363942222401	2020-07-03 00:30:34.853827	2020-07-03 01:02:36.000421	0 days 00:32:01.146594000	3	0.25	3	2300	0.000233942842653256	COMPLETE
36	0.9767648056798826	2020-07-03 01:02:36.001044	2020-07-03 01:16:45.859822	0 days 00:14:09.858778000	2	0.15000000000000002	2	2200	0.00015172008036386464	COMPLETE
37	0.9763229975676091	2020-07-03 01:16:45.860434	2020-07-03 01:46:52.360286	0 days 00:30:06.499852000	4	0.1	1	2000	1.4079902251065434e-05	COMPLETE
38	0.9769536887850543	2020-07-03 01:46:52.381027	2020-07-03 02:08:36.694836	0 days 00:21:44.313809000	3	0.05	2	2400	0.0001178687119182912	COMPLETE
39	0.9783387842054211	2020-07-03 02:08:36.695482	2020-07-03 02:22:16.446329	0 days 00:13:39.750847000	4	0.30000000000000004	1	800	4.2604878572933556e-05	COMPLETE
40	1.012941286856668	2020-07-03 02:22:16.446942	2020-07-03 02:36:24.822741	0 days 00:14:08.375799000	5	0.5	2	1300	0.0005259910201763455	COMPLETE
