number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
36	0.9645478059144259	2020-07-11 01:37:32.870706	2020-07-11 03:20:43.745909	0 days 01:43:10.875203000	6	0.05	3	2200	0.0002742582784266057	COMPLETE
37	0.9624513765639295	2020-07-11 03:20:43.746514	2020-07-11 04:49:26.098041	0 days 01:28:42.351527000	6	0.05	3	2100	0.00026896263911522616	COMPLETE
38	0.9687469679782283	2020-07-11 04:49:26.118891	2020-07-11 06:11:23.244760	0 days 01:21:57.125869000	6	0.05	3	2100	0.0005248203587526825	COMPLETE
39	0.9639687628215725	2020-07-11 06:11:23.263736	2020-07-11 07:25:34.302205	0 days 01:14:11.038469000	6	0.0	3	1900	0.00024085934422437327	COMPLETE
40	0.9676224081063506	2020-07-11 07:25:34.302828	2020-07-11 08:46:07.095548	0 days 01:20:32.792720000	6	0.0	2	2200	0.0003056787566652205	COMPLETE
41	0.9688236755807642	2020-07-11 08:46:07.096152	2020-07-11 09:36:48.945087	0 days 00:50:41.848935000	6	0.05	3	1900	0.0002443939983331055	COMPLETE
42	0.963442558584527	2020-07-11 09:36:48.945780	2020-07-11 10:56:40.941110	0 days 01:19:51.995330000	6	0.0	3	2300	0.0004528849386365583	COMPLETE
43	inf	2020-07-11 10:56:40.942181	2020-07-11 11:03:40.152123	0 days 00:06:59.209942000	6	0.0	3	2300	0.0006866050005913634	COMPLETE
44	0.9625802344137059	2020-07-11 11:03:40.152822	2020-07-11 12:35:05.837404	0 days 01:31:25.684582000	6	0.0	3	2100	0.00040916528886773574	COMPLETE
45	inf	2020-07-11 12:35:05.838051	2020-07-11 12:42:06.561125	0 days 00:07:00.723074000	6	0.0	3	1900	0.0009449754830917224	COMPLETE
46	0.9664837415345987	2020-07-11 12:42:06.561855	2020-07-11 14:00:47.285654	0 days 01:18:40.723799000	5	0.0	3	2100	0.00044236713653367276	COMPLETE
47	inf	2020-07-11 14:00:47.286278	2020-07-11 14:05:41.297841	0 days 00:04:54.011563000	6	0.0	3	2300	0.0014812788137282978	COMPLETE
48	0.965006747202292	2020-07-11 14:05:41.298545	2020-07-11 15:30:49.872115	0 days 01:25:08.573570000	5	0.05	3	2000	0.00042851740931520337	COMPLETE
49	0.965625175076081	2020-07-11 15:30:49.872732	2020-07-11 16:39:08.171568	0 days 01:08:18.298836000	5	0.0	3	1900	0.0003476629853357267	COMPLETE
50	0.9677029243869232	2020-07-11 16:39:08.453441	2020-07-11 19:04:07.177902	0 days 02:24:58.724461000	6	0.05	2	2300	0.0006585144920406907	COMPLETE
51	0.9652107153182248	2020-07-11 19:04:07.188442	2020-07-11 20:36:11.330282	0 days 01:32:04.141840000	6	0.05	3	2200	0.00021947865641109933	COMPLETE
52	0.9669889478016523	2020-07-11 20:36:11.330909	2020-07-11 21:44:09.324299	0 days 01:07:57.993390000	6	0.0	3	2100	0.0004873268017408077	COMPLETE
53	0.9652630991730549	2020-07-11 21:44:09.324942	2020-07-11 22:49:44.879763	0 days 01:05:35.554821000	6	0.05	3	2000	0.0003229240628590113	COMPLETE
54	0.9667992812855875	2020-07-11 22:49:44.880385	2020-07-12 00:00:50.112033	0 days 01:11:05.231648000	6	0.1	3	2200	0.00015123062099310026	COMPLETE
55	0.967059986301142	2020-07-12 00:00:50.112701	2020-07-12 01:18:20.112532	0 days 01:17:29.999831000	6	0.0	3	2300	0.0002182202372075714	COMPLETE
56	0.9655668250231284	2020-07-12 01:18:20.113163	2020-07-12 02:18:39.296987	0 days 01:00:19.183824000	5	0.05	3	1800	0.0003811646210270723	COMPLETE
57	0.9672555427424734	2020-07-12 02:18:39.297645	2020-07-12 03:01:08.197391	0 days 00:42:28.899746000	4	0.1	3	2100	0.00010382201895773704	COMPLETE
58	0.9677942344628973	2020-07-12 03:01:08.198019	2020-07-12 04:02:16.194675	0 days 01:01:07.996656000	6	0.0	3	2400	0.00025803002656211657	COMPLETE
59	0.9745239934690162	2020-07-12 04:02:16.195284	2020-07-12 05:22:45.467910	0 days 01:20:29.272626000	6	0.05	1	1700	0.0009330615523939386	COMPLETE
60	0.9678481329665979	2020-07-12 05:22:45.468537	2020-07-12 06:14:30.998069	0 days 00:51:45.529532000	5	0.0	3	2200	0.00013403756726320192	COMPLETE
61	0.966893789681006	2020-07-12 06:14:31.021360	2020-07-12 06:46:21.656447	0 days 00:31:50.635087000	6	0.05	3	900	0.0002458740805146502	COMPLETE
