number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
31	0.9617548239858527	2020-07-09 19:06:51.822983	2020-07-09 19:33:11.540805	0 days 00:26:19.717822000	3	0.2	1	1900	1.2463124773195938e-05	COMPLETE
32	0.9613871225836681	2020-07-09 19:33:11.541453	2020-07-09 20:04:41.654087	0 days 00:31:30.112634000	4	0.25	1	2000	4.655690270715827e-05	COMPLETE
33	0.9612803208200555	2020-07-09 20:04:41.654715	2020-07-09 20:35:28.064097	0 days 00:30:46.409382000	4	0.25	1	2000	1.5510653472287664e-05	COMPLETE
34	0.9619002868557534	2020-07-09 20:35:28.065610	2020-07-09 21:12:17.674327	0 days 00:36:49.608717000	5	0.25	1	1800	1.0113764683644533e-05	COMPLETE
35	0.9618148057781465	2020-07-09 21:12:17.674935	2020-07-09 21:38:50.756985	0 days 00:26:33.082050000	4	0.2	1	1600	1.4666224610811363e-05	COMPLETE
36	0.9618751542610035	2020-07-09 21:38:50.821503	2020-07-09 21:54:20.140806	0 days 00:15:29.319303000	4	0.15000000000000002	1	700	2.6280654254116005e-05	COMPLETE
37	0.9600850172907288	2020-07-09 21:54:20.141447	2020-07-09 22:20:16.629333	0 days 00:25:56.487886000	5	0.2	1	1300	1.6129937514344034e-05	COMPLETE
38	0.9595075908460116	2020-07-09 22:20:16.629931	2020-07-09 22:45:34.982384	0 days 00:25:18.352453000	5	0.2	1	1300	1.681269299563891e-05	COMPLETE
39	0.9841376089910318	2020-07-09 22:45:34.982991	2020-07-09 22:56:02.630805	0 days 00:10:27.647814000	5	0.1	1	1300	0.0011060811678524926	COMPLETE
40	0.960851481260612	2020-07-09 22:56:02.631458	2020-07-09 23:26:51.343948	0 days 00:30:48.712490000	6	0.2	1	1400	1.0090897264825307e-05	COMPLETE
41	0.9608897040461937	2020-07-09 23:26:51.344565	2020-07-09 23:58:25.678441	0 days 00:31:34.333876000	6	0.2	1	1400	1.0386266491109196e-05	COMPLETE
42	0.9604821811642563	2020-07-09 23:58:25.680624	2020-07-10 00:32:27.899926	0 days 00:34:02.219302000	6	0.15000000000000002	1	1400	2.274245079920982e-05	COMPLETE
43	0.9604455584671066	2020-07-10 00:32:27.900535	2020-07-10 01:02:43.355709	0 days 00:30:15.455174000	6	0.15000000000000002	1	1400	1.0659127022476285e-05	COMPLETE
44	0.9603287891337746	2020-07-10 01:02:43.395060	2020-07-10 01:31:12.555102	0 days 00:28:29.160042000	6	0.15000000000000002	1	1300	2.213475818070236e-05	COMPLETE
45	0.9596962559292888	2020-07-10 01:31:12.555728	2020-07-10 02:27:11.608137	0 days 00:55:59.052409000	6	0.05	1	1200	2.3110584223151133e-05	COMPLETE
46	0.9610501360474971	2020-07-10 02:27:11.645427	2020-07-10 02:53:20.447446	0 days 00:26:08.802019000	6	0.05	1	800	3.138053392995633e-05	COMPLETE
47	0.9602498202993158	2020-07-10 02:53:20.448178	2020-07-10 03:20:53.936155	0 days 00:27:33.487977000	6	0.1	1	1200	1.671203725171076e-05	COMPLETE
48	0.9618145321544848	2020-07-10 03:20:53.936777	2020-07-10 03:46:05.791361	0 days 00:25:11.854584000	5	0.05	1	1200	1.7516913762588798e-05	COMPLETE
49	0.9598850085024249	2020-07-10 03:46:05.791990	2020-07-10 04:35:09.706998	0 days 00:49:03.915008000	6	0.1	1	1000	3.7190187569875486e-05	COMPLETE
50	0.9605070056273923	2020-07-10 04:35:09.707626	2020-07-10 05:13:41.290572	0 days 00:38:31.582946000	5	0.05	1	1000	2.797058609393754e-05	COMPLETE
51	0.9601036592533714	2020-07-10 05:13:41.291187	2020-07-10 05:41:49.394470	0 days 00:28:08.103283000	6	0.1	1	1200	3.5102164355099324e-05	COMPLETE
52	0.9598346010983339	2020-07-10 05:41:49.395081	2020-07-10 06:09:04.303157	0 days 00:27:14.908076000	6	0.1	1	1100	1.5960101390656287e-05	COMPLETE
53	0.9601230182145771	2020-07-10 06:09:04.303794	2020-07-10 06:27:39.647530	0 days 00:18:35.343736000	6	0.0	1	1000	3.847042925431113e-05	COMPLETE
54	0.9606417229301051	2020-07-10 06:27:39.648727	2020-07-10 07:00:02.665522	0 days 00:32:23.016795000	6	0.1	1	800	2.6682198514594438e-05	COMPLETE
55	0.9607617548334668	2020-07-10 07:00:02.666136	2020-07-10 07:21:42.181318	0 days 00:21:39.515182000	5	0.1	1	1100	1.2732480163958854e-05	COMPLETE
56	0.9597100483046638	2020-07-10 07:21:42.181928	2020-07-10 07:47:12.388944	0 days 00:25:30.207016000	6	0.05	1	1100	3.4733663971068875e-05	COMPLETE
57	0.9618480690041481	2020-07-10 07:47:12.389557	2020-07-10 08:03:23.418016	0 days 00:16:11.028459000	5	0.05	1	600	2.0734934873059258e-05	COMPLETE
58	0.960313348045126	2020-07-10 08:03:23.418677	2020-07-10 08:23:44.622542	0 days 00:20:21.203865000	6	0.0	1	900	8.134853590304149e-05	COMPLETE
59	0.9595500077420508	2020-07-10 08:23:44.623240	2020-07-10 08:48:42.354478	0 days 00:24:57.731238000	6	0.05	1	1100	3.864357129001669e-05	COMPLETE
60	0.9602180834402118	2020-07-10 08:48:42.355094	2020-07-10 09:17:05.815931	0 days 00:28:23.460837000	6	0.05	1	1100	3.854054289356969e-05	COMPLETE
61	0.9598758415869105	2020-07-10 09:17:05.845008	2020-07-10 09:38:45.125727	0 days 00:21:39.280719000	6	0.0	1	900	2.8354607028781e-05	COMPLETE
62	0.959662626012724	2020-07-10 09:38:45.126433	2020-07-10 10:01:00.431128	0 days 00:22:15.304695000	6	0.0	1	900	2.8959924247834135e-05	COMPLETE
63	0.9598991605970595	2020-07-10 10:01:00.431742	2020-07-10 10:21:59.803433	0 days 00:20:59.371691000	6	0.0	1	900	3.0831405973298093e-05	COMPLETE
