number,value,datetime_start,datetime_complete,duration,params_depth,params_dropout,params_ffn_num_layers,params_hidden_size,params_init_lr,state
37,0.969394493695588,2020-07-08 18:08:54.733766,2020-07-08 18:35:04.984090,0 days 00:26:10.250324000,6,0.15,1,1000,4.81788659656099E-05,COMPLETE
38,0.968351358907265,2020-07-08 18:35:04.984648,2020-07-08 19:02:55.981865,0 days 00:27:50.997217000,5,0.2,2,1100,2.63447208637372E-05,COMPLETE
39,1.01644582532303,2020-07-08 19:02:55.982398,2020-07-08 19:19:21.928549,0 days 00:16:25.946151000,5,0.2,3,1300,0.000322482415145214,COMPLETE
40,0.993445143713589,2020-07-08 19:19:21.929129,2020-07-08 19:44:46.993982,0 days 00:25:25.064853000,4,0.3,2,800,2.38841476393943E-05,COMPLETE
41,0.968633093680555,2020-07-08 19:44:46.994531,2020-07-08 20:26:41.171004,0 days 00:41:54.176473000,5,0.2,2,1100,2.93821395077308E-05,COMPLETE
42,0.969194693174976,2020-07-08 20:26:41.171587,2020-07-08 20:53:02.769304,0 days 00:26:21.597717000,5,0.15,2,1100,1.43520605330738E-05,COMPLETE
43,0.979019290348243,2020-07-08 20:53:02.769876,2020-07-08 21:18:45.359001,0 days 00:25:42.589125000,6,0.05,2,500,5.852350039623E-05,COMPLETE
44,0.978253511308927,2020-07-08 21:18:45.359529,2020-07-08 21:36:03.464659,0 days 00:17:18.105130000,5,0.1,2,800,4.03403060789925E-05,COMPLETE
45,1.01644429407622,2020-07-08 21:36:03.465264,2020-07-08 21:52:14.966302,0 days 00:16:11.501038000,4,0.15,2,1400,0.00010028982561081,COMPLETE
46,0.979561966065078,2020-07-08 21:52:14.966834,2020-07-08 22:19:04.565896,0 days 00:26:49.599062000,6,0.3,2,1100,1.98207905560697E-05,COMPLETE
47,0.977523320425324,2020-07-08 22:19:04.566409,2020-07-08 22:46:24.844876,0 days 00:27:20.278467000,5,0,1,1500,1.27410249076701E-05,COMPLETE
48,0.967105505584973,2020-07-08 22:46:24.845446,2020-07-08 23:12:17.033086,0 days 00:25:52.187640000,5,0.1,2,900,2.72961110947104E-05,COMPLETE
49,0.967411757909764,2020-07-08 23:12:17.033662,2020-07-08 23:48:16.058353,0 days 00:35:59.024691000,6,0.1,2,600,2.59561953002189E-05,COMPLETE
50,0.97231298963926,2020-07-08 23:48:16.058978,2020-07-09 00:15:55.145271,0 days 00:27:39.086293000,6,0.1,2,600,5.33776233802177E-05,COMPLETE
51,0.968252702414641,2020-07-09 00:15:55.145858,2020-07-09 00:42:12.687943,0 days 00:26:17.542085000,6,0.15,2,900,2.80616329489222E-05,COMPLETE
52,0.976071729471809,2020-07-09 00:42:12.688533,2020-07-09 01:07:41.924851,0 days 00:25:29.236318000,6,0.1,2,500,4.19764744969511E-05,COMPLETE
53,0.976780071418885,2020-07-09 01:07:41.925475,2020-07-09 01:33:45.966733,0 days 00:26:04.041258000,6,0.15,2,800,7.64403241915511E-05,COMPLETE
54,0.968793787802869,2020-07-09 01:33:45.967328,2020-07-09 01:59:59.095320,0 days 00:26:13.127992000,6,0.1,2,900,3.67574809093885E-05,COMPLETE
55,0.994739089967215,2020-07-09 01:59:59.095905,2020-07-09 02:21:07.283879,0 days 00:21:08.187974000,6,0.05,2,2200,0.000148981440661378,COMPLETE
