number	value	datetime_start	datetime_complete	duration	params_init_lr_idx	state
0	0.0007447588152910742	2020-10-15 00:48:08.235298	2020-10-15 11:49:22.974670	0 days 11:01:14.739372000	1	COMPLETE
1	0.0006015121729464595	2020-10-15 11:49:22.988871	2020-10-16 04:38:34.389322	0 days 16:49:11.400451000	0	COMPLETE
2	0.0007972079226860327	2020-10-16 04:38:34.401950	2020-10-16 15:40:56.720763	0 days 11:02:22.318813000	2	COMPLETE
3		2020-10-16 15:40:56.751557	2020-10-16 15:40:56.835141	0 days 00:00:00.083584000	2	PRUNED
4		2020-10-16 15:41:12.304247	2020-10-16 15:41:12.305696	0 days 00:00:00.001449000	0	PRUNED
5	0.0008473767523126432	2020-10-16 15:41:12.428717	2020-10-17 12:10:51.238261	0 days 20:29:38.809544000	3	COMPLETE
