number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
0	1.6780798776472567	2020-07-03 11:51:27.304611	2020-07-03 12:11:35.226686	0 days 00:20:07.922075000	6	0.5	2	1800	0.0004643138897707627	COMPLETE
1	1.605362111097505	2020-07-03 12:11:35.227265	2020-07-03 12:25:29.043573	0 days 00:13:53.816308000	2	0.1	2	2100	4.557332556531654e-05	COMPLETE
2	1.62026746061809	2020-07-03 12:25:29.044163	2020-07-03 12:38:31.418270	0 days 00:13:02.374107000	2	0.15000000000000002	1	2000	1.5141113281283613e-05	COMPLETE
3	1.6023475694048683	2020-07-03 12:38:31.418862	2020-07-03 12:50:06.733682	0 days 00:11:35.314820000	6	0.30000000000000004	1	700	0.00010138408888942107	COMPLETE
4	1.6159086867680141	2020-07-03 12:50:06.734255	2020-07-03 13:13:33.685853	0 days 00:23:26.951598000	4	0.25	1	1100	0.0004722273937091374	COMPLETE
5	1.6270842706893758	2020-07-03 13:13:33.707455	2020-07-03 13:37:00.499171	0 days 00:23:26.791716000	2	0.25	1	2100	0.0006543471651696327	COMPLETE
6	1.6501346675758801	2020-07-03 13:37:00.499755	2020-07-03 13:45:50.322086	0 days 00:08:49.822331000	2	0.0	1	1300	0.0010462583341035304	COMPLETE
7	1.5897548135940762	2020-07-03 13:45:50.322678	2020-07-03 14:16:41.250998	0 days 00:30:50.928320000	6	0.15000000000000002	3	600	0.0005351865044687161	COMPLETE
8	1.5995371617686538	2020-07-03 14:16:41.252300	2020-07-03 14:31:58.818817	0 days 00:15:17.566517000	6	0.15000000000000002	1	600	3.50948063596427e-05	COMPLETE
9	1.6016804903282917	2020-07-03 14:31:58.819389	2020-07-03 14:48:24.532404	0 days 00:16:25.713015000	4	0.05	1	1400	1.941194861479394e-05	COMPLETE
10	1.6162849558342465	2020-07-03 14:48:24.532993	2020-07-03 15:01:44.754152	0 days 00:13:20.221159000	5	0.4	3	300	0.00018617372142290214	COMPLETE
11	1.6062403024752223	2020-07-03 15:01:44.754732	2020-07-03 15:11:04.335742	0 days 00:09:19.581010000	6	0.15000000000000002	3	300	0.0001485421643469108	COMPLETE
12	1.6933505544546246	2020-07-03 15:11:04.336354	2020-07-03 15:15:50.140401	0 days 00:04:45.804047000	5	0.15000000000000002	3	700	0.0019835355839163417	COMPLETE
