number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
36	1.8705471186201594	2020-07-01 17:58:17.527782	2020-07-01 18:42:07.774572	0 days 00:43:50.246790000	4	0.2	3	1000	1.4195395319858432e-05	COMPLETE
37	1.868735216822282	2020-07-01 18:42:07.775183	2020-07-01 19:35:36.044184	0 days 00:53:28.269001000	6	0.25	3	1300	8.997787680863082e-05	COMPLETE
38	1.870258576011236	2020-07-01 19:35:36.061239	2020-07-01 20:26:55.596359	0 days 00:51:19.535120000	4	0.35000000000000003	3	1100	3.99977844768211e-05	COMPLETE
39	1.9054709129659502	2020-07-01 20:26:55.596977	2020-07-01 20:50:37.843656	0 days 00:23:42.246679000	5	0.1	1	800	9.088265649492224e-05	COMPLETE
40	1.8640191992845203	2020-07-01 20:50:37.844275	2020-07-01 21:16:15.919557	0 days 00:25:38.075282000	6	0.15000000000000002	3	600	0.00012169441169365149	COMPLETE
41	1.8710095250945942	2020-07-01 21:16:15.920163	2020-07-01 21:48:11.729911	0 days 00:31:55.809748000	6	0.15000000000000002	3	500	0.00012872546918643867	COMPLETE
42	1.8695398239587229	2020-07-01 21:48:11.730538	2020-07-01 22:15:24.636116	0 days 00:27:12.905578000	6	0.1	3	600	5.706692613609634e-05	COMPLETE
43	1.8857060523667137	2020-07-01 22:15:24.636728	2020-07-01 22:59:11.476088	0 days 00:43:46.839360000	5	0.2	3	300	0.00015307941293784972	COMPLETE
44	1.8731740143160045	2020-07-01 22:59:11.476707	2020-07-01 23:53:02.885494	0 days 00:53:51.408787000	6	0.15000000000000002	3	800	0.00043658348273668173	COMPLETE
45	1.917963805906478	2020-07-01 23:53:02.887186	2020-07-02 00:06:14.655510	0 days 00:13:11.768324000	6	0.25	3	500	9.878698426381799e-05	COMPLETE
46	1.8643741889734988	2020-07-02 00:06:14.656131	2020-07-02 00:33:51.599477	0 days 00:27:36.943346000	5	0.05	3	700	3.396761528665293e-05	COMPLETE
47	1.8672898444098656	2020-07-02 00:33:51.600101	2020-07-02 01:01:08.989490	0 days 00:27:17.389389000	6	0.05	3	700	5.260648230440417e-05	COMPLETE
48	1.8721730078374978	2020-07-02 01:01:08.990097	2020-07-02 01:26:53.388951	0 days 00:25:44.398854000	5	0.05	3	400	3.3754722125669803e-05	COMPLETE
