number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.09126884765989146	2021-05-24 02:23:07.121626	2021-05-24 02:26:44.564534	0 days 00:03:37.442908000	9	COMPLETE
1	0.0719451946675104	2021-05-24 02:26:44.565064	2021-05-24 02:29:44.510502	0 days 00:02:59.945438000	3	COMPLETE
2		2021-05-24 02:29:44.510953	2021-05-24 02:29:44.511318	0 days 00:00:00.000365000	9	PRUNED
3		2021-05-24 02:29:44.565768	2021-05-24 02:29:44.566222	0 days 00:00:00.000454000	9	PRUNED
4		2021-05-24 02:29:44.618283	2021-05-24 02:29:44.618783	0 days 00:00:00.000500000	3	PRUNED
5		2021-05-24 02:29:44.670281	2021-05-24 02:29:44.670813	0 days 00:00:00.000532000	9	PRUNED
6	0.0850587551712429	2021-05-24 02:29:44.722334	2021-05-24 02:33:47.293346	0 days 00:04:02.571012000	5	COMPLETE
7	0.0813716613262204	2021-05-24 02:33:47.293977	2021-05-24 02:37:44.282940	0 days 00:03:56.988963000	7	COMPLETE
8		2021-05-24 02:37:44.283658	2021-05-24 02:37:44.285357	0 days 00:00:00.001699000	9	PRUNED
9		2021-05-24 02:37:44.342605	2021-05-24 02:37:44.343261	0 days 00:00:00.000656000	9	PRUNED
10	0.058764870331372523	2021-05-24 02:37:44.397441	2021-05-24 02:41:23.031667	0 days 00:03:38.634226000	1	COMPLETE
