number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.10010761951756897	2021-05-24 01:28:06.012170	2021-05-24 01:32:03.015500	0 days 00:03:57.003330000	9	COMPLETE
1		2021-05-24 01:32:03.016066	2021-05-24 01:32:03.016539	0 days 00:00:00.000473000	9	PRUNED
2	0.09423446573489751	2021-05-24 01:32:03.139482	2021-05-24 01:35:53.576721	0 days 00:03:50.437239000	5	COMPLETE
3	0.07828002835768283	2021-05-24 01:35:53.577344	2021-05-24 01:38:59.231438	0 days 00:03:05.654094000	3	COMPLETE
4		2021-05-24 01:38:59.232085	2021-05-24 01:38:59.232702	0 days 00:00:00.000617000	5	PRUNED
5		2021-05-24 01:38:59.322462	2021-05-24 01:38:59.323179	0 days 00:00:00.000717000	3	PRUNED
6	0.09797743254873512	2021-05-24 01:38:59.413243	2021-05-24 01:42:04.443774	0 days 00:03:05.030531000	7	COMPLETE
7		2021-05-24 01:42:04.444380	2021-05-24 01:42:04.444915	0 days 00:00:00.000535000	7	PRUNED
8		2021-05-24 01:42:04.499354	2021-05-24 01:42:04.499961	0 days 00:00:00.000607000	3	PRUNED
9	0.05206959005495482	2021-05-24 01:42:04.551638	2021-05-24 01:45:02.454416	0 days 00:02:57.902778000	1	COMPLETE
