number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.05608589297857089	2021-05-24 02:03:22.414602	2021-05-24 02:07:05.766144	0 days 00:03:43.351542000	1	COMPLETE
1		2021-05-24 02:07:05.766632	2021-05-24 02:07:05.767036	0 days 00:00:00.000404000	1	PRUNED
2	0.09083650379478513	2021-05-24 02:07:05.854330	2021-05-24 02:11:15.327456	0 days 00:04:09.473126000	9	COMPLETE
3	0.08789523846875712	2021-05-24 02:11:15.328005	2021-05-24 02:15:08.338102	0 days 00:03:53.010097000	7	COMPLETE
4		2021-05-24 02:15:08.338696	2021-05-24 02:15:08.339205	0 days 00:00:00.000509000	1	PRUNED
5		2021-05-24 02:15:08.425326	2021-05-24 02:15:08.425919	0 days 00:00:00.000593000	1	PRUNED
6		2021-05-24 02:15:08.525099	2021-05-24 02:15:08.525772	0 days 00:00:00.000673000	7	PRUNED
7		2021-05-24 02:15:08.611439	2021-05-24 02:15:08.612115	0 days 00:00:00.000676000	7	PRUNED
8		2021-05-24 02:15:08.697606	2021-05-24 02:15:08.698324	0 days 00:00:00.000718000	9	PRUNED
9		2021-05-24 02:15:08.784083	2021-05-24 02:15:08.784843	0 days 00:00:00.000760000	7	PRUNED
10		2021-05-24 02:15:08.870647	2021-05-24 02:15:08.873412	0 days 00:00:00.002765000	9	PRUNED
11	0.08674987354038458	2021-05-24 02:15:08.963765	2021-05-24 02:19:24.349831	0 days 00:04:15.386066000	5	COMPLETE
12		2021-05-24 02:19:24.350627	2021-05-24 02:19:24.352299	0 days 00:00:00.001672000	5	PRUNED
13		2021-05-24 02:19:24.426490	2021-05-24 02:19:24.428241	0 days 00:00:00.001751000	9	PRUNED
14		2021-05-24 02:19:24.481565	2021-05-24 02:19:24.483265	0 days 00:00:00.001700000	7	PRUNED
15	0.0802822210167346	2021-05-24 02:19:24.536153	2021-05-24 02:23:02.060519	0 days 00:03:37.524366000	3	COMPLETE
