number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.09481017505224379	2021-05-24 01:35:56.307337	2021-05-24 01:41:28.359961	0 days 00:05:32.052624000	7	COMPLETE
1		2021-05-24 01:41:28.360468	2021-05-24 01:41:28.360907	0 days 00:00:00.000439000	7	PRUNED
2	0.10459211804510561	2021-05-24 01:41:28.491382	2021-05-24 01:45:54.747312	0 days 00:04:26.255930000	9	COMPLETE
3		2021-05-24 01:45:54.747879	2021-05-24 01:45:54.748342	0 days 00:00:00.000463000	7	PRUNED
4		2021-05-24 01:45:54.834249	2021-05-24 01:45:54.834820	0 days 00:00:00.000571000	7	PRUNED
5		2021-05-24 01:45:54.920556	2021-05-24 01:45:54.921163	0 days 00:00:00.000607000	9	PRUNED
6	0.04606854293982375	2021-05-24 01:45:55.007514	2021-05-24 01:49:39.230263	0 days 00:03:44.222749000	1	COMPLETE
7		2021-05-24 01:49:39.230960	2021-05-24 01:49:39.231556	0 days 00:00:00.000596000	7	PRUNED
8	0.07181694788746884	2021-05-24 01:49:39.331265	2021-05-24 01:55:16.551695	0 days 00:05:37.220430000	3	COMPLETE
9		2021-05-24 01:55:16.552469	2021-05-24 01:55:16.553132	0 days 00:00:00.000663000	7	PRUNED
10		2021-05-24 01:55:16.639078	2021-05-24 01:55:16.641266	0 days 00:00:00.002188000	9	PRUNED
11	0.07191192216475656	2021-05-24 01:55:16.727166	2021-05-24 02:00:20.226462	0 days 00:05:03.499296000	5	COMPLETE
