number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.08360555456366042	2021-05-24 02:00:25.032884	2021-05-24 02:05:41.588828	0 days 00:05:16.555944000	9	COMPLETE
1		2021-05-24 02:05:41.589330	2021-05-24 02:05:41.589748	0 days 00:00:00.000418000	9	PRUNED
2		2021-05-24 02:05:41.680445	2021-05-24 02:05:41.680978	0 days 00:00:00.000533000	9	PRUNED
3	0.023811808831149	2021-05-24 02:05:41.771794	2021-05-24 02:10:12.175537	0 days 00:04:30.403743000	1	COMPLETE
4	0.06540566169124408	2021-05-24 02:10:12.176242	2021-05-24 02:15:05.934125	0 days 00:04:53.757883000	7	COMPLETE
5		2021-05-24 02:15:05.934777	2021-05-24 02:15:05.935316	0 days 00:00:00.000539000	1	PRUNED
6	0.052637260309729754	2021-05-24 02:15:06.026735	2021-05-24 02:19:20.877455	0 days 00:04:14.850720000	3	COMPLETE
7		2021-05-24 02:19:20.878205	2021-05-24 02:19:20.878822	0 days 00:00:00.000617000	1	PRUNED
8		2021-05-24 02:19:20.966023	2021-05-24 02:19:20.966879	0 days 00:00:00.000856000	3	PRUNED
9		2021-05-24 02:19:21.054117	2021-05-24 02:19:21.054914	0 days 00:00:00.000797000	9	PRUNED
10		2021-05-24 02:19:21.141623	2021-05-24 02:19:21.143701	0 days 00:00:00.002078000	7	PRUNED
11		2021-05-24 02:19:21.230351	2021-05-24 02:19:21.232287	0 days 00:00:00.001936000	7	PRUNED
12		2021-05-24 02:19:21.318990	2021-05-24 02:19:21.321048	0 days 00:00:00.002058000	7	PRUNED
13	0.0629578578389238	2021-05-24 02:19:21.407644	2021-05-24 02:24:49.378140	0 days 00:05:27.970496000	5	COMPLETE
