number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.033170598425111025	2021-05-24 01:11:12.457595	2021-05-24 01:14:23.254850	0 days 00:03:10.797255000	1	COMPLETE
1	0.09571937674287417	2021-05-24 01:14:23.255422	2021-05-24 01:17:20.870323	0 days 00:02:57.614901000	7	COMPLETE
2	0.06664078698867403	2021-05-24 01:17:20.870840	2021-05-24 01:20:24.040643	0 days 00:03:03.169803000	3	COMPLETE
3		2021-05-24 01:20:24.041191	2021-05-24 01:20:24.041648	0 days 00:00:00.000457000	3	PRUNED
4		2021-05-24 01:20:24.128107	2021-05-24 01:20:24.128677	0 days 00:00:00.000570000	1	PRUNED
5	0.0929361211165723	2021-05-24 01:20:24.229018	2021-05-24 01:23:54.888159	0 days 00:03:30.659141000	5	COMPLETE
6		2021-05-24 01:23:54.888852	2021-05-24 01:23:54.889383	0 days 00:00:00.000531000	3	PRUNED
7		2021-05-24 01:23:54.970400	2021-05-24 01:23:54.971013	0 days 00:00:00.000613000	1	PRUNED
8	0.09752147895490085	2021-05-24 01:23:55.026614	2021-05-24 01:28:01.574064	0 days 00:04:06.547450000	9	COMPLETE
