number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.388812299540082	2021-05-23 04:33:59.518064	2021-05-23 04:37:25.487110	0 days 00:03:25.969046000	3	COMPLETE
1	1.2793463058087413	2021-05-23 04:37:25.487599	2021-05-23 04:40:49.655685	0 days 00:03:24.168086000	5	COMPLETE
2		2021-05-23 04:40:49.656360	2021-05-23 04:40:49.656824	0 days 00:00:00.000464000	5	PRUNED
3		2021-05-23 04:40:49.789823	2021-05-23 04:40:49.790464	0 days 00:00:00.000641000	5	PRUNED
4	1.219611462143429	2021-05-23 04:40:49.923279	2021-05-23 04:44:08.595333	0 days 00:03:18.672054000	7	COMPLETE
5		2021-05-23 04:44:08.596062	2021-05-23 04:44:08.596619	0 days 00:00:00.000557000	3	PRUNED
6	1.8599163835194525	2021-05-23 04:44:08.684583	2021-05-23 04:47:34.161857	0 days 00:03:25.477274000	1	COMPLETE
7		2021-05-23 04:47:34.162606	2021-05-23 04:47:34.163223	0 days 00:00:00.000617000	3	PRUNED
8		2021-05-23 04:47:34.258437	2021-05-23 04:47:34.259179	0 days 00:00:00.000742000	7	PRUNED
9		2021-05-23 04:47:34.354328	2021-05-23 04:47:34.355181	0 days 00:00:00.000853000	5	PRUNED
10	1.1848738148798015	2021-05-23 04:47:34.450016	2021-05-23 04:51:34.152852	0 days 00:03:59.702836000	9	COMPLETE
