number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.12603305976761323	2021-05-24 01:11:12.468684	2021-05-24 01:15:31.548658	0 days 00:04:19.079974000	5	COMPLETE
1	0.05586913568672833	2021-05-24 01:15:31.549172	2021-05-24 01:18:37.431269	0 days 00:03:05.882097000	1	COMPLETE
2	0.12225189443129704	2021-05-24 01:18:37.431853	2021-05-24 01:21:43.795962	0 days 00:03:06.364109000	9	COMPLETE
3		2021-05-24 01:21:43.796460	2021-05-24 01:21:43.796881	0 days 00:00:00.000421000	5	PRUNED
4		2021-05-24 01:21:43.858193	2021-05-24 01:21:43.858762	0 days 00:00:00.000569000	1	PRUNED
5	0.11979769515988908	2021-05-24 01:21:43.943095	2021-05-24 01:25:50.766074	0 days 00:04:06.822979000	7	COMPLETE
6		2021-05-24 01:25:50.766718	2021-05-24 01:25:50.767246	0 days 00:00:00.000528000	9	PRUNED
7		2021-05-24 01:25:50.848437	2021-05-24 01:25:50.849125	0 days 00:00:00.000688000	9	PRUNED
8		2021-05-24 01:25:50.929295	2021-05-24 01:25:50.929988	0 days 00:00:00.000693000	7	PRUNED
9		2021-05-24 01:25:51.009989	2021-05-24 01:25:51.010707	0 days 00:00:00.000718000	1	PRUNED
10	0.10743464169758281	2021-05-24 01:25:51.090420	2021-05-24 01:29:26.288062	0 days 00:03:35.197642000	3	COMPLETE
