number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.0610705676593994	2021-05-23 04:51:41.411301	2021-05-23 04:55:41.090385	0 days 00:03:59.679084000	1	COMPLETE
1	1.3741626348383562	2021-05-23 04:55:41.090891	2021-05-23 04:59:25.664058	0 days 00:03:44.573167000	5	COMPLETE
2	1.3131955094304386	2021-05-23 04:59:25.664620	2021-05-23 05:03:11.730396	0 days 00:03:46.065776000	9	COMPLETE
3		2021-05-23 05:03:11.731100	2021-05-23 05:03:11.731604	0 days 00:00:00.000504000	1	PRUNED
4		2021-05-23 05:03:11.839972	2021-05-23 05:03:11.840688	0 days 00:00:00.000716000	5	PRUNED
5	1.4673478466182057	2021-05-23 05:03:11.949070	2021-05-23 05:06:05.723216	0 days 00:02:53.774146000	3	COMPLETE
6		2021-05-23 05:06:05.723946	2021-05-23 05:06:05.724539	0 days 00:00:00.000593000	3	PRUNED
7		2021-05-23 05:06:05.842672	2021-05-23 05:06:05.843403	0 days 00:00:00.000731000	9	PRUNED
8		2021-05-23 05:06:05.961247	2021-05-23 05:06:05.962022	0 days 00:00:00.000775000	3	PRUNED
9		2021-05-23 05:06:06.080284	2021-05-23 05:06:06.081091	0 days 00:00:00.000807000	3	PRUNED
10		2021-05-23 05:06:06.199233	2021-05-23 05:06:06.201510	0 days 00:00:00.002277000	9	PRUNED
11	1.3324559855266838	2021-05-23 05:06:06.319253	2021-05-23 05:09:40.506939	0 days 00:03:34.187686000	7	COMPLETE
