number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.863728938508888	2021-05-23 02:50:54.619297	2021-05-23 02:54:03.444801	0 days 00:03:08.825504000	1	COMPLETE
1	1.1930803577125566	2021-05-23 02:54:03.445289	2021-05-23 02:57:22.153333	0 days 00:03:18.708044000	9	COMPLETE
2		2021-05-23 02:57:22.153870	2021-05-23 02:57:22.154267	0 days 00:00:00.000397000	9	PRUNED
3	1.2730933983769377	2021-05-23 02:57:22.242876	2021-05-23 03:00:49.895960	0 days 00:03:27.653084000	5	COMPLETE
4	1.220878988106047	2021-05-23 03:00:49.896602	2021-05-23 03:04:18.161721	0 days 00:03:28.265119000	7	COMPLETE
5		2021-05-23 03:04:18.162363	2021-05-23 03:04:18.162882	0 days 00:00:00.000519000	5	PRUNED
6		2021-05-23 03:04:18.249228	2021-05-23 03:04:18.249874	0 days 00:00:00.000646000	5	PRUNED
7		2021-05-23 03:04:18.336211	2021-05-23 03:04:18.336895	0 days 00:00:00.000684000	5	PRUNED
8		2021-05-23 03:04:18.423311	2021-05-23 03:04:18.424040	0 days 00:00:00.000729000	7	PRUNED
9		2021-05-23 03:04:18.510526	2021-05-23 03:04:18.511287	0 days 00:00:00.000761000	5	PRUNED
10		2021-05-23 03:04:18.597845	2021-05-23 03:04:18.600087	0 days 00:00:00.002242000	1	PRUNED
11		2021-05-23 03:04:18.686633	2021-05-23 03:04:18.688633	0 days 00:00:00.002000000	9	PRUNED
12		2021-05-23 03:04:18.775419	2021-05-23 03:04:18.777526	0 days 00:00:00.002107000	9	PRUNED
13		2021-05-23 03:04:18.864402	2021-05-23 03:04:18.866471	0 days 00:00:00.002069000	7	PRUNED
14		2021-05-23 03:04:18.953283	2021-05-23 03:04:18.955395	0 days 00:00:00.002112000	7	PRUNED
15		2021-05-23 03:04:19.042366	2021-05-23 03:04:19.044527	0 days 00:00:00.002161000	7	PRUNED
16	1.395614306858476	2021-05-23 03:04:19.131454	2021-05-23 03:07:29.330562	0 days 00:03:10.199108000	3	COMPLETE
