number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.8193741136151085	2021-05-23 05:07:06.890145	2021-05-23 05:10:56.987156	0 days 00:03:50.097011000	9	COMPLETE
1	3.0226585495063967	2021-05-23 05:10:56.987649	2021-05-23 05:14:08.838533	0 days 00:03:11.850884000	1	COMPLETE
2	1.8441440256637873	2021-05-23 05:14:08.839211	2021-05-23 05:17:44.503077	0 days 00:03:35.663866000	7	COMPLETE
3		2021-05-23 05:17:44.503736	2021-05-23 05:17:44.504292	0 days 00:00:00.000556000	7	PRUNED
4		2021-05-23 05:17:44.605200	2021-05-23 05:17:44.605855	0 days 00:00:00.000655000	9	PRUNED
5	2.075628909962054	2021-05-23 05:17:44.706876	2021-05-23 05:21:25.106421	0 days 00:03:40.399545000	3	COMPLETE
6		2021-05-23 05:21:25.107125	2021-05-23 05:21:25.107725	0 days 00:00:00.000600000	7	PRUNED
7		2021-05-23 05:21:25.244208	2021-05-23 05:21:25.244910	0 days 00:00:00.000702000	1	PRUNED
8		2021-05-23 05:21:25.380928	2021-05-23 05:21:25.381664	0 days 00:00:00.000736000	9	PRUNED
9		2021-05-23 05:21:25.517099	2021-05-23 05:21:25.517872	0 days 00:00:00.000773000	1	PRUNED
10	1.9168127101901211	2021-05-23 05:21:25.654892	2021-05-23 05:24:54.911041	0 days 00:03:29.256149000	5	COMPLETE
