number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.76933978151987	2021-05-23 04:11:31.670842	2021-05-23 04:15:29.415759	0 days 00:03:57.744917000	3	COMPLETE
1		2021-05-23 04:15:29.416289	2021-05-23 04:15:29.416719	0 days 00:00:00.000430000	3	PRUNED
2	2.1769494966634384	2021-05-23 04:15:29.508260	2021-05-23 04:18:11.804119	0 days 00:02:42.295859000	1	COMPLETE
3	1.6004272523170255	2021-05-23 04:18:11.804683	2021-05-23 04:21:06.106541	0 days 00:02:54.301858000	7	COMPLETE
4		2021-05-23 04:21:06.107254	2021-05-23 04:21:06.107788	0 days 00:00:00.000534000	3	PRUNED
5	1.5385724721519387	2021-05-23 04:21:06.208750	2021-05-23 04:24:04.589400	0 days 00:02:58.380650000	9	COMPLETE
6		2021-05-23 04:24:04.590103	2021-05-23 04:24:04.590685	0 days 00:00:00.000582000	7	PRUNED
7	1.6278525156043704	2021-05-23 04:24:04.708557	2021-05-23 04:27:06.193780	0 days 00:03:01.485223000	5	COMPLETE
