number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2000747507003644	2021-05-23 04:35:36.078143	2021-05-23 04:38:53.341001	0 days 00:03:17.262858000	7	COMPLETE
1	1.1842735991376676	2021-05-23 04:38:53.357960	2021-05-23 04:42:29.990714	0 days 00:03:36.632754000	9	COMPLETE
2	1.3419977933305456	2021-05-23 04:42:29.991226	2021-05-23 04:45:44.759956	0 days 00:03:14.768730000	3	COMPLETE
3	1.2499562917092257	2021-05-23 04:45:44.760536	2021-05-23 04:49:19.161782	0 days 00:03:34.401246000	5	COMPLETE
4		2021-05-23 04:49:19.162375	2021-05-23 04:49:19.162874	0 days 00:00:00.000499000	5	PRUNED
5		2021-05-23 04:49:19.250835	2021-05-23 04:49:19.251435	0 days 00:00:00.000600000	7	PRUNED
6		2021-05-23 04:49:19.339245	2021-05-23 04:49:19.339903	0 days 00:00:00.000658000	9	PRUNED
7		2021-05-23 04:49:19.427240	2021-05-23 04:49:19.427921	0 days 00:00:00.000681000	5	PRUNED
8		2021-05-23 04:49:19.515106	2021-05-23 04:49:19.515820	0 days 00:00:00.000714000	7	PRUNED
9		2021-05-23 04:49:19.603442	2021-05-23 04:49:19.604218	0 days 00:00:00.000776000	5	PRUNED
10	1.753743509063932	2021-05-23 04:49:19.691327	2021-05-23 04:52:21.890474	0 days 00:03:02.199147000	1	COMPLETE
