number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	2.969775219551711	2021-05-23 03:04:02.072696	2021-05-23 03:07:07.593598	0 days 00:03:05.520902000	1	COMPLETE
1	1.8179956584645618	2021-05-23 03:07:07.594074	2021-05-23 03:10:17.902147	0 days 00:03:10.308073000	9	COMPLETE
2	1.8728976397964154	2021-05-23 03:10:17.902652	2021-05-23 03:13:28.213221	0 days 00:03:10.310569000	7	COMPLETE
3		2021-05-23 03:13:28.213771	2021-05-23 03:13:28.214237	0 days 00:00:00.000466000	1	PRUNED
4	2.1740009575508576	2021-05-23 03:13:28.300527	2021-05-23 03:16:19.446047	0 days 00:02:51.145520000	3	COMPLETE
5		2021-05-23 03:16:19.446678	2021-05-23 03:16:19.447190	0 days 00:00:00.000512000	1	PRUNED
6		2021-05-23 03:16:19.532006	2021-05-23 03:16:19.532644	0 days 00:00:00.000638000	1	PRUNED
7		2021-05-23 03:16:19.617189	2021-05-23 03:16:19.617868	0 days 00:00:00.000679000	7	PRUNED
8		2021-05-23 03:16:19.702179	2021-05-23 03:16:19.702892	0 days 00:00:00.000713000	1	PRUNED
9		2021-05-23 03:16:19.787176	2021-05-23 03:16:19.787926	0 days 00:00:00.000750000	7	PRUNED
10		2021-05-23 03:16:19.872135	2021-05-23 03:16:19.874342	0 days 00:00:00.002207000	9	PRUNED
11		2021-05-23 03:16:19.958540	2021-05-23 03:16:19.960620	0 days 00:00:00.002080000	9	PRUNED
12		2021-05-23 03:16:20.044947	2021-05-23 03:16:20.046976	0 days 00:00:00.002029000	7	PRUNED
13	1.945970584718174	2021-05-23 03:16:20.131226	2021-05-23 03:19:19.096577	0 days 00:02:58.965351000	5	COMPLETE
