number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2929426276893001	2021-05-23 04:27:11.344349	2021-05-23 04:30:08.260715	0 days 00:02:56.916366000	9	COMPLETE
1	1.315597161258174	2021-05-23 04:30:08.261215	2021-05-23 04:33:06.719634	0 days 00:02:58.458419000	7	COMPLETE
2	1.9903423238377167	2021-05-23 04:33:06.720163	2021-05-23 04:36:03.189185	0 days 00:02:56.469022000	1	COMPLETE
3		2021-05-23 04:36:03.189747	2021-05-23 04:36:03.190196	0 days 00:00:00.000449000	7	PRUNED
4		2021-05-23 04:36:03.279065	2021-05-23 04:36:03.279632	0 days 00:00:00.000567000	9	PRUNED
5	1.3755850105016083	2021-05-23 04:36:03.368316	2021-05-23 04:39:00.653883	0 days 00:02:57.285567000	5	COMPLETE
6		2021-05-23 04:39:00.654579	2021-05-23 04:39:00.655172	0 days 00:00:00.000593000	5	PRUNED
7		2021-05-23 04:39:00.748168	2021-05-23 04:39:00.748869	0 days 00:00:00.000701000	7	PRUNED
8		2021-05-23 04:39:00.841424	2021-05-23 04:39:00.842158	0 days 00:00:00.000734000	9	PRUNED
9		2021-05-23 04:39:00.934644	2021-05-23 04:39:00.935427	0 days 00:00:00.000783000	5	PRUNED
10		2021-05-23 04:39:01.028061	2021-05-23 04:39:01.030399	0 days 00:00:00.002338000	1	PRUNED
11		2021-05-23 04:39:01.123112	2021-05-23 04:39:01.125302	0 days 00:00:00.002190000	9	PRUNED
12		2021-05-23 04:39:01.217760	2021-05-23 04:39:01.219901	0 days 00:00:00.002141000	7	PRUNED
13		2021-05-23 04:39:01.312305	2021-05-23 04:39:01.314492	0 days 00:00:00.002187000	7	PRUNED
14	1.488912496324768	2021-05-23 04:39:01.407190	2021-05-23 04:42:08.560285	0 days 00:03:07.153095000	3	COMPLETE
