number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.7507376677196964	2021-05-23 02:49:51.811451	2021-05-23 02:53:34.567547	0 days 00:03:42.756096000	3	COMPLETE
1	2.1175431207009203	2021-05-23 02:53:34.568055	2021-05-23 02:57:01.158737	0 days 00:03:26.590682000	1	COMPLETE
2		2021-05-23 02:57:01.159256	2021-05-23 02:57:01.159667	0 days 00:00:00.000411000	3	PRUNED
3	1.5377243641904021	2021-05-23 02:57:01.248064	2021-05-23 03:00:28.433992	0 days 00:03:27.185928000	9	COMPLETE
4		2021-05-23 03:00:28.434584	2021-05-23 03:00:28.435073	0 days 00:00:00.000489000	1	PRUNED
5	1.5714760147889804	2021-05-23 03:00:28.521418	2021-05-23 03:03:51.086401	0 days 00:03:22.564983000	7	COMPLETE
6		2021-05-23 03:03:51.087230	2021-05-23 03:03:51.087855	0 days 00:00:00.000625000	3	PRUNED
7		2021-05-23 03:03:51.222244	2021-05-23 03:03:51.223040	0 days 00:00:00.000796000	1	PRUNED
8		2021-05-23 03:03:51.357338	2021-05-23 03:03:51.358252	0 days 00:00:00.000914000	7	PRUNED
9		2021-05-23 03:03:51.492638	2021-05-23 03:03:51.493511	0 days 00:00:00.000873000	7	PRUNED
10		2021-05-23 03:03:51.613246	2021-05-23 03:03:51.687920	0 days 00:00:00.074674000	9	PRUNED
11		2021-05-23 03:03:51.777144	2021-05-23 03:03:51.779185	0 days 00:00:00.002041000	9	PRUNED
12		2021-05-23 03:03:51.866548	2021-05-23 03:03:51.868619	0 days 00:00:00.002071000	7	PRUNED
13		2021-05-23 03:03:51.955892	2021-05-23 03:03:51.957986	0 days 00:00:00.002094000	9	PRUNED
14	1.6049549399469285	2021-05-23 03:03:52.045397	2021-05-23 03:07:33.162870	0 days 00:03:41.117473000	5	COMPLETE
