number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.4617353069936336	2021-05-23 03:52:01.082111	2021-05-23 03:55:41.204747	0 days 00:03:40.122636000	7	COMPLETE
1		2021-05-23 03:55:41.205264	2021-05-23 03:55:41.205706	0 days 00:00:00.000442000	7	PRUNED
2	1.42189978115823	2021-05-23 03:55:41.328402	2021-05-23 03:59:31.421902	0 days 00:03:50.093500000	9	COMPLETE
3		2021-05-23 03:59:31.422522	2021-05-23 03:59:31.422978	0 days 00:00:00.000456000	7	PRUNED
4		2021-05-23 03:59:31.510340	2021-05-23 03:59:31.510942	0 days 00:00:00.000602000	7	PRUNED
5	1.9521755560869207	2021-05-23 03:59:31.598173	2021-05-23 04:02:52.982347	0 days 00:03:21.384174000	1	COMPLETE
6		2021-05-23 04:02:52.983012	2021-05-23 04:02:52.983557	0 days 00:00:00.000545000	9	PRUNED
7		2021-05-23 04:02:53.067860	2021-05-23 04:02:53.068529	0 days 00:00:00.000669000	7	PRUNED
8		2021-05-23 04:02:53.152608	2021-05-23 04:02:53.153317	0 days 00:00:00.000709000	9	PRUNED
9	1.5514243233661746	2021-05-23 04:02:53.237343	2021-05-23 04:06:59.624584	0 days 00:04:06.387241000	5	COMPLETE
10		2021-05-23 04:06:59.625446	2021-05-23 04:06:59.627699	0 days 00:00:00.002253000	1	PRUNED
11		2021-05-23 04:06:59.723044	2021-05-23 04:06:59.725127	0 days 00:00:00.002083000	9	PRUNED
12		2021-05-23 04:06:59.820017	2021-05-23 04:06:59.822112	0 days 00:00:00.002095000	5	PRUNED
13	1.6293873058704678	2021-05-23 04:06:59.916761	2021-05-23 04:10:50.727584	0 days 00:03:50.810823000	3	COMPLETE
