number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.041373148313708114	2021-05-24 01:11:12.461621	2021-05-24 01:15:28.085813	0 days 00:04:15.624192000	3	COMPLETE
1	0.06897112375961952	2021-05-24 01:15:28.086317	2021-05-24 01:18:33.140328	0 days 00:03:05.054011000	7	COMPLETE
2	0.03225459640372612	2021-05-24 01:18:33.140877	2021-05-24 01:22:08.762754	0 days 00:03:35.621877000	1	COMPLETE
3	0.07433080924806085	2021-05-24 01:22:08.763314	2021-05-24 01:26:19.621040	0 days 00:04:10.857726000	9	COMPLETE
4		2021-05-24 01:26:19.621641	2021-05-24 01:26:19.622122	0 days 00:00:00.000481000	9	PRUNED
5		2021-05-24 01:26:19.709266	2021-05-24 01:26:19.709869	0 days 00:00:00.000603000	7	PRUNED
6		2021-05-24 01:26:19.796575	2021-05-24 01:26:19.797208	0 days 00:00:00.000633000	7	PRUNED
7		2021-05-24 01:26:19.883764	2021-05-24 01:26:19.884433	0 days 00:00:00.000669000	3	PRUNED
8		2021-05-24 01:26:19.980520	2021-05-24 01:26:19.981369	0 days 00:00:00.000849000	1	PRUNED
9		2021-05-24 01:26:20.074773	2021-05-24 01:26:20.075531	0 days 00:00:00.000758000	7	PRUNED
10		2021-05-24 01:26:20.161910	2021-05-24 01:26:20.264112	0 days 00:00:00.102202000	9	PRUNED
11		2021-05-24 01:26:20.340669	2021-05-24 01:26:20.342285	0 days 00:00:00.001616000	9	PRUNED
12	0.07009296944315666	2021-05-24 01:26:20.397681	2021-05-24 01:29:49.972453	0 days 00:03:29.574772000	5	COMPLETE
