number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	0.021154348874129716	2021-05-24 02:48:26.434933	2021-05-24 02:52:28.061085	0 days 00:04:01.626152000	1	COMPLETE
1		2021-05-24 02:52:28.118463	2021-05-24 02:52:28.119013	0 days 00:00:00.000550000	1	PRUNED
2	0.06860984859725774	2021-05-24 02:52:28.203469	2021-05-24 02:56:30.920532	0 days 00:04:02.717063000	9	COMPLETE
3		2021-05-24 02:56:30.921087	2021-05-24 02:56:30.921545	0 days 00:00:00.000458000	9	PRUNED
4		2021-05-24 02:56:31.011404	2021-05-24 02:56:31.011980	0 days 00:00:00.000576000	1	PRUNED
5		2021-05-24 02:56:31.101929	2021-05-24 02:56:31.102545	0 days 00:00:00.000616000	9	PRUNED
6	0.03945792315494862	2021-05-24 02:56:31.192667	2021-05-24 03:02:05.418370	0 days 00:05:34.225703000	3	COMPLETE
7	0.05905279214579162	2021-05-24 03:02:05.419087	2021-05-24 03:07:44.382901	0 days 00:05:38.963814000	5	COMPLETE
8	0.05844317977012864	2021-05-24 03:07:44.383689	2021-05-24 03:13:20.082456	0 days 00:05:35.698767000	7	COMPLETE
