number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.3809206908172094	2021-05-23 03:23:23.051905	2021-05-23 03:26:23.430926	0 days 00:03:00.379021000	5	COMPLETE
1	1.8539463451740381	2021-05-23 03:26:23.431446	2021-05-23 03:29:05.165840	0 days 00:02:41.734394000	1	COMPLETE
2	1.3514195660936361	2021-05-23 03:29:05.166426	2021-05-23 03:32:53.479020	0 days 00:03:48.312594000	7	COMPLETE
3		2021-05-23 03:32:53.479595	2021-05-23 03:32:53.480046	0 days 00:00:00.000451000	5	PRUNED
4		2021-05-23 03:32:53.574827	2021-05-23 03:32:53.575414	0 days 00:00:00.000587000	5	PRUNED
5	1.4699816856243784	2021-05-23 03:32:53.671404	2021-05-23 03:35:50.987726	0 days 00:02:57.316322000	3	COMPLETE
6		2021-05-23 03:35:50.988478	2021-05-23 03:35:50.989049	0 days 00:00:00.000571000	5	PRUNED
7		2021-05-23 03:35:51.076842	2021-05-23 03:35:51.077540	0 days 00:00:00.000698000	7	PRUNED
8		2021-05-23 03:35:51.165492	2021-05-23 03:35:51.166244	0 days 00:00:00.000752000	3	PRUNED
9		2021-05-23 03:35:51.254236	2021-05-23 03:35:51.255010	0 days 00:00:00.000774000	1	PRUNED
10	1.3297314559348705	2021-05-23 03:35:51.342872	2021-05-23 03:39:16.198318	0 days 00:03:24.855446000	9	COMPLETE
