number	value	datetime_start	datetime_complete	duration	params_n_neighbors	state
0	1.2240462745615095	2021-05-23 04:20:20.056049	2021-05-23 04:23:39.465955	0 days 00:03:19.409906000	7	COMPLETE
1	1.3731187735953563	2021-05-23 04:23:39.466504	2021-05-23 04:27:29.160280	0 days 00:03:49.693776000	3	COMPLETE
2		2021-05-23 04:27:29.160829	2021-05-23 04:27:29.161237	0 days 00:00:00.000408000	7	PRUNED
3	1.794218928770873	2021-05-23 04:27:29.247464	2021-05-23 04:30:50.508005	0 days 00:03:21.260541000	1	COMPLETE
4		2021-05-23 04:30:50.508648	2021-05-23 04:30:50.509135	0 days 00:00:00.000487000	7	PRUNED
5		2021-05-23 04:30:50.599158	2021-05-23 04:30:50.599819	0 days 00:00:00.000661000	1	PRUNED
6	1.1864486663793734	2021-05-23 04:30:50.689588	2021-05-23 04:34:49.866381	0 days 00:03:59.176793000	9	COMPLETE
7		2021-05-23 04:34:49.867191	2021-05-23 04:34:49.867798	0 days 00:00:00.000607000	3	PRUNED
8		2021-05-23 04:34:49.957961	2021-05-23 04:34:49.958703	0 days 00:00:00.000742000	7	PRUNED
9		2021-05-23 04:34:50.048578	2021-05-23 04:34:50.049360	0 days 00:00:00.000782000	7	PRUNED
10		2021-05-23 04:34:50.139124	2021-05-23 04:34:50.141370	0 days 00:00:00.002246000	9	PRUNED
11		2021-05-23 04:34:50.231166	2021-05-23 04:34:50.233232	0 days 00:00:00.002066000	9	PRUNED
12		2021-05-23 04:34:50.323054	2021-05-23 04:34:50.325189	0 days 00:00:00.002135000	9	PRUNED
13	1.2735229031572401	2021-05-23 04:34:50.415065	2021-05-23 04:38:23.900297	0 days 00:03:33.485232000	5	COMPLETE
