number	value	datetime_start	datetime_complete	duration	params_depth	params_dropout	params_ffn_num_layers	params_hidden_size	params_init_lr	state
36	0.015902091784109763	2020-10-11 01:00:14.637098	2020-10-11 01:17:16.408305	0 days 00:17:01.771207000	6	0.0	1	900	1.43086984667109e-05	COMPLETE
37	0.01591654002201713	2020-10-11 01:17:16.408941	2020-10-11 01:34:11.231273	0 days 00:16:54.822332000	6	0.0	1	900	1.30037102178067e-05	COMPLETE
38	0.015874249697085802	2020-10-11 01:34:11.231929	2020-10-11 01:54:12.025419	0 days 00:20:00.793490000	6	0.0	1	1100	1.9229463746013536e-05	COMPLETE
39	0.017018317851211953	2020-10-11 01:54:12.026049	2020-10-11 02:26:49.119501	0 days 00:32:37.093452000	5	0.4	1	1400	1.72034782731764e-05	COMPLETE
40	0.016038058688463367	2020-10-11 02:26:49.131126	2020-10-11 02:44:43.464466	0 days 00:17:54.333340000	5	0.0	1	1100	1.3157737331114336e-05	COMPLETE
41	0.01593359352434345	2020-10-11 02:44:43.465082	2020-10-11 03:01:45.785141	0 days 00:17:02.320059000	6	0.0	1	900	2.356282288010956e-05	COMPLETE
42	0.01578463964719635	2020-10-11 03:01:45.785769	2020-10-11 03:21:41.689153	0 days 00:19:55.903384000	6	0.0	1	1100	1.8762319261383648e-05	COMPLETE
43	0.016052457277172118	2020-10-11 03:21:41.690184	2020-10-11 03:44:50.960961	0 days 00:23:09.270777000	6	0.05	1	1300	1.0058405072724247e-05	COMPLETE
44	0.016126038377393525	2020-10-11 03:44:50.961841	2020-10-11 04:05:06.965909	0 days 00:20:16.004068000	6	0.1	1	1100	1.9793102559535847e-05	COMPLETE
45	0.016014711958464583	2020-10-11 04:05:06.966529	2020-10-11 04:28:53.800795	0 days 00:23:46.834266000	5	0.05	1	1500	1.688390021042685e-05	COMPLETE
46	0.015904104573423717	2020-10-11 04:28:53.814147	2020-10-11 04:48:48.124045	0 days 00:19:54.309898000	6	0.0	1	1100	1.326617783379873e-05	COMPLETE
47	0.01619904191293887	2020-10-11 04:48:48.124701	2020-10-11 05:05:28.692194	0 days 00:16:40.567493000	6	0.1	2	1200	4.184748430827029e-05	COMPLETE
48	0.019685583352388025	2020-10-11 05:05:28.692973	2020-10-11 05:16:37.566855	0 days 00:11:08.873882000	5	0.30000000000000004	1	800	0.001707819810360563	COMPLETE
49	0.015886833693045773	2020-10-11 05:16:37.567483	2020-10-11 05:34:36.810240	0 days 00:17:59.242757000	6	0.0	1	1000	1.9254459455547053e-05	COMPLETE
50	0.015996893250687125	2020-10-11 05:34:36.812131	2020-10-11 05:49:34.456594	0 days 00:14:57.644463000	5	0.05	2	1200	1.981602297088382e-05	COMPLETE
51	0.01589361535457162	2020-10-11 05:49:34.457301	2020-10-11 06:07:23.185725	0 days 00:17:48.728424000	6	0.0	1	1000	1.100810846118372e-05	COMPLETE
